year,gameType,team,opponent,wins,losses,ties,total_games,win_pct
1919,Regular,Washington,Oregon,0,1,0,1,0.0
1919,Regular,Washington,Washington State,1,0,0,1,100.0
1919,Regular,Washington State,California (Cal),1,0,0,1,100.0
1919,Regular,Washington State,Oregon,1,0,0,1,100.0
1919,Regular,Washington State,Oregon State,0,1,0,1,0.0
1919,Regular,Washington State,Washington,0,1,0,1,0.0
1920,Regular,California (Cal),Oregon State,1,0,0,1,100.0
1920,Regular,California (Cal),Stanford,1,0,0,1,100.0
1920,Regular,California (Cal),Utah,1,0,0,1,100.0
1920,Regular,California (Cal),Washington State,1,0,0,1,100.0
1920,Regular,Colorado,Utah,0,1,0,1,0.0
1920,Regular,Oregon,Oregon State,0,0,1,1,0.0
1920,Regular,Oregon,Stanford,0,1,0,1,0.0
1920,Regular,Oregon,USC,0,1,0,1,0.0
1920,Regular,Oregon,Washington,1,0,0,1,100.0
1920,Regular,Oregon State,California (Cal),0,1,0,1,0.0
1920,Regular,Oregon State,Oregon,0,0,1,1,0.0
1920,Regular,Oregon State,Washington,1,0,0,1,100.0
1920,Regular,Oregon State,Washington State,0,1,0,1,0.0
1920,Regular,Stanford,California (Cal),0,1,0,1,0.0
1920,Regular,Stanford,Oregon,1,0,0,1,100.0
1920,Regular,Stanford,USC,0,1,0,1,0.0
1920,Regular,Stanford,Washington,1,0,0,1,100.0
1920,Regular,USC,Oregon,1,0,0,1,100.0
1920,Regular,USC,Stanford,1,0,0,1,100.0
1920,Regular,Utah,California (Cal),0,1,0,1,0.0
1920,Regular,Utah,Colorado,1,0,0,1,100.0
1920,Regular,Washington,Oregon,0,1,0,1,0.0
1920,Regular,Washington,Oregon State,0,1,0,1,0.0
1920,Regular,Washington,Stanford,0,1,0,1,0.0
1920,Regular,Washington State,California (Cal),0,1,0,1,0.0
1920,Regular,Washington State,Oregon State,1,0,0,1,100.0
1921,Regular,California (Cal),Oregon,1,0,0,1,100.0
1921,Regular,California (Cal),Stanford,1,0,0,1,100.0
1921,Regular,California (Cal),USC,1,0,0,1,100.0
1921,Regular,California (Cal),Washington,1,0,0,1,100.0
1921,Regular,California (Cal),Washington State,1,0,0,1,100.0
1921,Regular,Colorado,Utah,0,0,1,1,0.0
1921,Regular,Oregon,California (Cal),0,1,0,1,0.0
1921,Regular,Oregon,Oregon State,0,0,1,1,0.0
1921,Regular,Oregon,Washington State,0,0,1,1,0.0
1921,Regular,Oregon State,Oregon,0,0,1,1,0.0
1921,Regular,Oregon State,Stanford,0,1,0,1,0.0
1921,Regular,Oregon State,USC,0,1,0,1,0.0
1921,Regular,Oregon State,Washington,1,0,0,1,100.0
1921,Regular,Oregon State,Washington State,0,1,0,1,0.0
1921,Regular,Stanford,California (Cal),0,1,0,1,0.0
1921,Regular,Stanford,Oregon State,1,0,0,1,100.0
1921,Regular,Stanford,Washington,0,0,1,1,0.0
1921,Regular,USC,California (Cal),0,1,0,1,0.0
1921,Regular,USC,Oregon State,1,0,0,1,100.0
1921,Regular,USC,Washington State,1,0,0,1,100.0
1921,Regular,Utah,Colorado,0,0,1,1,0.0
1921,Regular,Washington,California (Cal),0,1,0,1,0.0
1921,Regular,Washington,Oregon State,0,1,0,1,0.0
1921,Regular,Washington,Stanford,0,0,1,1,0.0
1921,Regular,Washington,Washington State,0,1,0,1,0.0
1921,Regular,Washington State,California (Cal),0,1,0,1,0.0
1921,Regular,Washington State,Oregon,0,0,1,1,0.0
1921,Regular,Washington State,Oregon State,1,0,0,1,100.0
1921,Regular,Washington State,USC,0,1,0,1,0.0
1921,Regular,Washington State,Washington,1,0,0,1,100.0
1922,Regular,Arizona,USC,0,1,0,1,0.0
1922,Regular,California (Cal),Stanford,1,0,0,1,100.0
1922,Regular,California (Cal),USC,1,0,0,1,100.0
1922,Regular,California (Cal),Washington,1,0,0,1,100.0
1922,Regular,California (Cal),Washington State,1,0,0,1,100.0
1922,Regular,Colorado,Utah,0,1,0,1,0.0
1922,Regular,Oregon,Oregon State,1,0,0,1,100.0
