year,gameType,team,opponent,wins,losses,ties,total_games,win_pct
1897,Regular,Wisconsin,Minnesota,1,0,0,1,100.0
1897,Regular,Wisconsin,Northwestern,1,0,0,1,100.0
1898,Regular,Illinois,Michigan,0,1,0,1,0.0
1898,Regular,Illinois,Minnesota,1,0,0,1,100.0
1898,Regular,Indiana,Purdue,0,1,0,1,0.0
1898,Regular,Michigan,Illinois,1,0,0,1,100.0
1898,Regular,Michigan,Michigan State,1,0,0,1,100.0
1898,Regular,Michigan,Northwestern,1,0,0,1,100.0
1898,Regular,Michigan State,Michigan,0,1,0,1,0.0
1898,Regular,Minnesota,Illinois,0,1,0,1,0.0
1898,Regular,Minnesota,Northwestern,1,0,0,1,100.0
1898,Regular,Minnesota,Wisconsin,0,1,0,1,0.0
1898,Regular,Northwestern,Michigan,0,1,0,1,0.0
1898,Regular,Northwestern,Minnesota,0,1,0,1,0.0
1898,Regular,Northwestern,Wisconsin,0,1,0,1,0.0
1898,Regular,Purdue,Indiana,1,0,0,1,100.0
1898,Regular,Wisconsin,Minnesota,1,0,0,1,100.0
1898,Regular,Wisconsin,Northwestern,1,0,0,1,100.0
1899,Regular,Illinois,Indiana,0,1,0,1,0.0
1899,Regular,Illinois,Iowa,0,1,0,1,0.0
1899,Regular,Illinois,Michigan,0,1,0,1,0.0
1899,Regular,Illinois,Purdue,0,1,0,1,0.0
1899,Regular,Illinois,Wisconsin,0,1,0,1,0.0
1899,Regular,Indiana,Illinois,1,0,0,1,100.0
1899,Regular,Indiana,Northwestern,0,1,0,1,0.0
1899,Regular,Indiana,Purdue,1,0,0,1,100.0
1899,Regular,Iowa,Illinois,1,0,0,1,100.0
1899,Regular,Iowa,Nebraska,1,0,0,1,100.0
1899,Regular,Michigan,Illinois,1,0,0,1,100.0
1899,Regular,Michigan,Wisconsin,0,1,0,1,0.0
1899,Regular,Minnesota,Northwestern,0,1,0,1,0.0
1899,Regular,Minnesota,Wisconsin,0,1,0,1,0.0
1899,Regular,Nebraska,Iowa,0,1,0,1,0.0
1899,Regular,Northwestern,Indiana,1,0,0,1,100.0
1899,Regular,Northwestern,Minnesota,1,0,0,1,100.0
1899,Regular,Northwestern,Purdue,1,0,0,1,100.0
1899,Regular,Northwestern,Wisconsin,0,1,0,1,0.0
1899,Regular,Purdue,Illinois,1,0,0,1,100.0
1899,Regular,Purdue,Indiana,0,1,0,1,0.0
1899,Regular,Purdue,Northwestern,0,1,0,1,0.0
1899,Regular,Wisconsin,Illinois,1,0,0,1,100.0
1899,Regular,Wisconsin,Michigan,1,0,0,1,100.0
1899,Regular,Wisconsin,Minnesota,1,0,0,1,100.0
1899,Regular,Wisconsin,Northwestern,1,0,0,1,100.0
1900,Regular,Illinois,Indiana,0,0,1,1,0.0
1900,Regular,Illinois,Michigan,0,1,0,1,0.0
1900,Regular,Illinois,Minnesota,0,1,0,1,0.0
