year,gameType,team,opponent,wins,losses,ties,total_games,win_pct
1896,Regular,Michigan,Minnesota,1,0,0,1,100.0
1896,Regular,Michigan,Purdue,1,0,0,1,100.0
1896,Regular,Minnesota,Iowa State,1,0,0,1,100.0
1896,Regular,Minnesota,Kansas,1,0,0,1,100.0
1896,Regular,Minnesota,Michigan,0,1,0,1,0.0
1896,Regular,Minnesota,Purdue,1,0,0,1,100.0
1896,Regular,Minnesota,Wisconsin,0,1,0,1,0.0
1896,Regular,Missouri,Illinois,0,1,0,1,0.0
1896,Regular,Northwestern,Illinois,1,0,0,1,100.0
1896,Regular,Northwestern,Wisconsin,0,0,1,1,0.0
1896,Regular,Penn State,Pittsburgh,1,0,0,1,100.0
1896,Regular,Pittsburgh,Penn State,0,1,0,1,0.0
1896,Regular,Purdue,Illinois,0,0,1,1,0.0
1896,Regular,Purdue,Michigan,0,1,0,1,0.0
1896,Regular,Purdue,Minnesota,0,1,0,1,0.0
1896,Regular,Wisconsin,Minnesota,1,0,0,1,100.0
1896,Regular,Wisconsin,Northwestern,0,0,1,1,0.0
1897,Regular,Illinois,Purdue,1,0,0,1,100.0
1897,Regular,Indiana,Purdue,0,1,0,1,0.0
1897,Regular,Iowa,Northwestern,1,0,0,1,100.0
1897,Regular,Iowa State,Minnesota,1,0,0,1,100.0
1897,Regular,Michigan,Minnesota,1,0,0,1,100.0
1897,Regular,Michigan,Ohio State,1,0,0,1,100.0
1897,Regular,Michigan,Purdue,1,0,0,1,100.0
1897,Regular,Minnesota,Iowa State,0,1,0,1,0.0
1897,Regular,Minnesota,Michigan,0,1,0,1,0.0
1897,Regular,Minnesota,Purdue,0,1,0,1,0.0
1897,Regular,Minnesota,Wisconsin,0,1,0,1,0.0
1897,Regular,Missouri,Purdue,0,1,0,1,0.0
1897,Regular,Northwestern,Iowa,0,1,0,1,0.0
1897,Regular,Northwestern,Wisconsin,0,1,0,1,0.0
1897,Regular,Ohio State,Michigan,0,1,0,1,0.0
1897,Regular,Purdue,Illinois,0,1,0,1,0.0
1897,Regular,Purdue,Indiana,1,0,0,1,100.0
1897,Regular,Purdue,Michigan,0,1,0,1,0.0
1897,Regular,Purdue,Minnesota,1,0,0,1,100.0
1897,Regular,Purdue,Missouri,1,0,0,1,100.0
1897,Regular,Wisconsin,Minnesota,1,0,0,1,100.0
1897,Regular,Wisconsin,Northwestern,1,0,0,1,100.0
1898,Regular,Illinois,Michigan,0,1,0,1,0.0
1898,Regular,Illinois,Minnesota,1,0,0,1,100.0
1898,Regular,Indiana,Purdue,0,1,0,1,0.0
1898,Regular,Iowa State,Minnesota,1,0,0,1,100.0
1898,Regular,Michigan,Illinois,1,0,0,1,100.0
1898,Regular,Michigan,Michigan State,1,0,0,1,100.0
1898,Regular,Michigan,Northwestern,1,0,0,1,100.0
1898,Regular,Michigan State,Michigan,0,1,0,1,0.0
1898,Regular,Minnesota,Illinois,0,1,0,1,0.0
1898,Regular,Minnesota,Iowa State,0,1,0,1,0.0
1898,Regular,Minnesota,Northwestern,1,0,0,1,100.0
1898,Regular,Minnesota,Wisconsin,0,1,0,1,0.0
1898,Regular,Northwestern,Michigan,0,1,0,1,0.0
1898,Regular,Northwestern,Minnesota,0,1,0,1,0.0
1898,Regular,Northwestern,Wisconsin,0,1,0,1,0.0
1898,Regular,Purdue,Indiana,1,0,0,1,100.0
1898,Regular,Wisconsin,Minnesota,1,0,0,1,100.0
1898,Regular,Wisconsin,Northwestern,1,0,0,1,100.0
1899,Regular,Cincinnati,Indiana,0,1,0,1,0.0
1899,Regular,Illinois,Indiana,0,1,0,1,0.0
1899,Regular,Illinois,Iowa,0,1,0,1,0.0
1899,Regular,Illinois,Michigan,0,1,0,1,0.0
1899,Regular,Illinois,Purdue,0,1,0,1,0.0
1899,Regular,Illinois,Wisconsin,0,1,0,1,0.0
1899,Regular,Indiana,Cincinnati,1,0,0,1,100.0
1899,Regular,Indiana,Illinois,1,0,0,1,100.0
1899,Regular,Indiana,Northwestern,0,1,0,1,0.0
1899,Regular,Indiana,Purdue,1,0,0,1,100.0
1899,Regular,Indiana,Vanderbilt,1,0,0,1,100.0
1899,Regular,Iowa,Illinois,1,0,0,1,100.0
1899,Regular,Iowa,Iowa State,1,0,0,1,100.0
1899,Regular,Iowa,Nebraska,1,0,0,1,100.0
1899,Regular,Iowa State,Iowa,0,1,0,1,0.0
1899,Regular,Iowa State,Minnesota,0,1,0,1,0.0
1899,Regular,Iowa State,Nebraska,1,0,0,1,100.0
1899,Regular,Michigan,Illinois,1,0,0,1,100.0
1899,Regular,Michigan,Virginia,1,0,0,1,100.0
1899,Regular,Michigan,Wisconsin,0,1,0,1,0.0
1899,Regular,Minnesota,Iowa State,1,0,0,1,100.0
1899,Regular,Minnesota,Northwestern,0,1,0,1,0.0
1899,Regular,Minnesota,Wisconsin,0,1,0,1,0.0
1899,Regular,Nebraska,Iowa,0,1,0,1,0.0
1899,Regular,Nebraska,Iowa State,0,1,0,1,0.0
1899,Regular,Northwestern,Indiana,1,0,0,1,100.0
1899,Regular,Northwestern,Minnesota,1,0,0,1,100.0
1899,Regular,Northwestern,Purdue,1,0,0,1,100.0
1899,Regular,Northwestern,Wisconsin,0,1,0,1,0.0
1899,Regular,Purdue,Illinois,1,0,0,1,100.0
1899,Regular,Purdue,Indiana,0,1,0,1,0.0
1899,Regular,Purdue,Northwestern,0,1,0,1,0.0
1899,Regular,Vanderbilt,Indiana,0,1,0,1,0.0
1899,Regular,Virginia,Michigan,0,1,0,1,0.0
1899,Regular,Wisconsin,Illinois,1,0,0,1,100.0
1899,Regular,Wisconsin,Michigan,1,0,0,1,100.0
1899,Regular,Wisconsin,Minnesota,1,0,0,1,100.0
1899,Regular,Wisconsin,Northwestern,1,0,0,1,100.0
1900,Regular,Illinois,Indiana,0,0,1,1,0.0
1900,Regular,Illinois,Michigan,0,1,0,1,0.0
1900,Regular,Illinois,Minnesota,0,1,0,1,0.0
1900,Regular,Illinois,Northwestern,0,0,1,1,0.0
1900,Regular,Illinois,Purdue,1,0,0,1,100.0
1900,Regular,Illinois,Wisconsin,0,1,0,1,0.0
1900,Regular,Indiana,Illinois,0,0,1,1,0.0
1900,Regular,Indiana,Michigan,0,1,0,1,0.0
1900,Regular,Indiana,Northwestern,0,1,0,1,0.0
1900,Regular,Indiana,Purdue,1,0,0,1,100.0
1900,Regular,Iowa,Michigan,1,0,0,1,100.0
1900,Regular,Iowa,Northwestern,0,0,1,1,0.0
1900,Regular,Iowa State,Minnesota,0,1,0,1,0.0
1900,Regular,Iowa State,Nebraska,0,1,0,1,0.0
1900,Regular,Kansas,Nebraska,0,1,0,1,0.0
1900,Regular,Michigan,Illinois,1,0,0,1,100.0
1900,Regular,Michigan,Indiana,1,0,0,1,100.0
1900,Regular,Michigan,Iowa,0,1,0,1,0.0
1900,Regular,Michigan,Ohio State,0,0,1,1,0.0
1900,Regular,Michigan,Purdue,1,0,0,1,100.0
1900,Regular,Minnesota,Illinois,1,0,0,1,100.0
1900,Regular,Minnesota,Iowa State,1,0,0,1,100.0
1900,Regular,Minnesota,Nebraska,1,0,0,1,100.0
1900,Regular,Minnesota,Northwestern,1,0,0,1,100.0
1900,Regular,Minnesota,Wisconsin,1,0,0,1,100.0
