Team,Opponent,Win_Percentage,Wins,Losses,Total_Games
Toronto Raptors,Denver Nuggets,34.92,22,41,63
Toronto Raptors,Detroit Pistons,40.68,48,70,118
Toronto Raptors,Golden State Warriors,43.94,29,37,66
Toronto Raptors,Houston Rockets,44.62,29,36,65
Toronto Raptors,Indiana Pacers,48.74,58,61,119
Toronto Raptors,Los Angeles Clippers,51.56,33,31,64
Toronto Raptors,Los Angeles Lakers,37.7,23,38,61
Toronto Raptors,Memphis Grizzlies,52.46,32,29,61
Toronto Raptors,Miami Heat,41.53,49,69,118
Toronto Raptors,Milwaukee Bucks,46.77,58,66,124
Toronto Raptors,Minnesota Timberwolves,64.62,42,23,65
Toronto Raptors,New Orleans Pelicans,60.0,30,20,50
Toronto Raptors,New York Knicks,54.2,71,60,131
Toronto Raptors,Oklahoma City Thunder,38.98,23,36,59
Toronto Raptors,Orlando Magic,56.41,66,51,117
Toronto Raptors,Philadelphia 76ers,54.48,79,66,145
Toronto Raptors,Phoenix Suns,40.0,24,36,60
Toronto Raptors,Portland Trail Blazers,40.0,26,39,65
Toronto Raptors,Sacramento Kings,48.39,30,32,62
Toronto Raptors,San Antonio Spurs,33.9,20,39,59
Toronto Raptors,Toronto Raptors,,0,0,0
Toronto Raptors,Utah Jazz,40.0,24,36,60
Toronto Raptors,Washington Wizards,61.36,81,51,132
Utah Jazz,Atlanta Hawks,51.3,59,56,115
Utah Jazz,Boston Celtics,41.96,47,65,112
Utah Jazz,Brooklyn Nets,65.38,68,36,104
Utah Jazz,Charlotte Hornets,66.22,49,25,74
Utah Jazz,Chicago Bulls,46.15,60,70,130
Utah Jazz,Cleveland Cavaliers,53.85,63,54,117
Utah Jazz,Dallas Mavericks,54.13,118,100,218
Utah Jazz,Denver Nuggets,56.13,142,111,253
Utah Jazz,Detroit Pistons,64.35,74,41,115
Utah Jazz,Golden State Warriors,54.42,123,103,226
Utah Jazz,Houston Rockets,51.27,141,134,275
Utah Jazz,Indiana Pacers,50.0,52,52,104
Utah Jazz,Los Angeles Clippers,56.43,136,105,241
Utah Jazz,Los Angeles Lakers,42.46,107,145,252
Utah Jazz,Memphis Grizzlies,62.07,72,44,116
Utah Jazz,Miami Heat,52.56,41,37,78
Utah Jazz,Milwaukee Bucks,53.91,62,53,115
Utah Jazz,Minnesota Timberwolves,61.74,92,57,149
Utah Jazz,New Orleans Pelicans,60.49,49,32,81
Utah Jazz,New York Knicks,50.0,56,56,112
Utah Jazz,Oklahoma City Thunder,43.27,106,139,245
Utah Jazz,Orlando Magic,63.01,46,27,73
Utah Jazz,Philadelphia 76ers,53.1,60,53,113
Utah Jazz,Phoenix Suns,46.81,110,125,235
Utah Jazz,Portland Trail Blazers,53.33,144,126,270
Utah Jazz,Sacramento Kings,54.43,129,108,237
Utah Jazz,San Antonio Spurs,44.17,106,134,240
Utah Jazz,Toronto Raptors,60.0,36,24,60
Utah Jazz,Utah Jazz,,0,0,0
Utah Jazz,Washington Wizards,53.91,62,53,115
Washington Wizards,Atlanta Hawks,47.08,129,145,274
Washington Wizards,Boston Celtics,37.23,102,172,274
Washington Wizards,Brooklyn Nets,51.83,113,105,218
Washington Wizards,Charlotte Hornets,47.97,71,77,148
Washington Wizards,Chicago Bulls,44.49,101,126,227
Washington Wizards,Cleveland Cavaliers,47.1,122,137,259
Washington Wizards,Dallas Mavericks,42.55,40,54,94
Washington Wizards,Denver Nuggets,40.57,43,63,106
Washington Wizards,Detroit Pistons,42.63,107,144,251
Washington Wizards,Golden State Warriors,38.57,54,86,140
Washington Wizards,Houston Rockets,40.0,54,81,135
Washington Wizards,Indiana Pacers,44.23,92,116,208
Washington Wizards,Los Angeles Clippers,55.56,70,56,126
Washington Wizards,Los Angeles Lakers,37.31,50,84,134
Washington Wizards,Memphis Grizzlies,45.16,28,34,62
Washington Wizards,Miami Heat,32.28,51,107,158
Washington Wizards,Milwaukee Bucks,41.98,89,123,212
Washington Wizards,Minnesota Timberwolves,56.34,40,31,71
Washington Wizards,New Orleans Pelicans,47.17,25,28,53
Washington Wizards,New York Knicks,42.28,115,157,272
Washington Wizards,Oklahoma City Thunder,40.94,52,75,127
Washington Wizards,Orlando Magic,42.07,61,84,145
Washington Wizards,Philadelphia 76ers,39.5,111,170,281
Washington Wizards,Phoenix Suns,44.35,51,64,115
Washington Wizards,Portland Trail Blazers,43.36,49,64,113
Washington Wizards,Sacramento Kings,44.44,60,75,135
Washington Wizards,San Antonio Spurs,38.21,47,76,123
Washington Wizards,Toronto Raptors,38.64,51,81,132
Washington Wizards,Utah Jazz,46.09,53,62,115
Washington Wizards,Washington Wizards,,0,0,0
