year,gameType,team,opponent,wins,losses,total_games,win_pct
1968,Regular Season,Chicago Bulls,New York Knicks,1,7,8,12.5
1968,Regular Season,Chicago Bulls,Oklahoma City Thunder,2,4,6,33.33
1968,Regular Season,Chicago Bulls,Philadelphia 76ers,0,6,6,0.0
1968,Regular Season,Chicago Bulls,Phoenix Suns,1,1,2,50.0
1968,Regular Season,Chicago Bulls,Sacramento Kings,4,4,8,50.0
1968,Regular Season,Detroit Pistons,Atlanta Hawks,2,3,5,40.0
1968,Regular Season,Detroit Pistons,Boston Celtics,2,7,9,22.22
1968,Regular Season,Detroit Pistons,Chicago Bulls,2,3,5,40.0
1968,Regular Season,Detroit Pistons,Golden State Warriors,6,1,7,85.71
1968,Regular Season,Detroit Pistons,Houston Rockets,4,2,6,66.67
1968,Regular Season,Detroit Pistons,Los Angeles Lakers,3,4,7,42.86
1968,Regular Season,Detroit Pistons,Milwaukee Bucks,1,1,2,50.0
1968,Regular Season,Detroit Pistons,New York Knicks,1,6,7,14.29
1968,Regular Season,Detroit Pistons,Oklahoma City Thunder,4,1,5,80.0
1968,Regular Season,Detroit Pistons,Philadelphia 76ers,1,5,6,16.67
1968,Regular Season,Detroit Pistons,Phoenix Suns,2,2,4,50.0
1968,Regular Season,Detroit Pistons,Sacramento Kings,3,4,7,42.86
1968,Regular Season,Golden State Warriors,Atlanta Hawks,1,5,6,16.67
1968,Regular Season,Golden State Warriors,Boston Celtics,3,3,6,50.0
1968,Regular Season,Golden State Warriors,Chicago Bulls,3,2,5,60.0
1968,Regular Season,Golden State Warriors,Detroit Pistons,1,6,7,14.29
1968,Regular Season,Golden State Warriors,Houston Rockets,4,2,6,66.67
1968,Regular Season,Golden State Warriors,Los Angeles Lakers,3,6,9,33.33
1968,Regular Season,Golden State Warriors,Milwaukee Bucks,1,3,4,25.0
1968,Regular Season,Golden State Warriors,New York Knicks,2,6,8,25.0
1968,Regular Season,Golden State Warriors,Oklahoma City Thunder,4,3,7,57.14
1968,Regular Season,Golden State Warriors,Philadelphia 76ers,2,4,6,33.33
1968,Regular Season,Golden State Warriors,Phoenix Suns,3,1,4,75.0
1968,Regular Season,Golden State Warriors,Sacramento Kings,2,3,5,40.0
1968,Regular Season,Houston Rockets,Atlanta Hawks,2,3,5,40.0
1968,Regular Season,Houston Rockets,Boston Celtics,0,5,5,0.0
1968,Regular Season,Houston Rockets,Chicago Bulls,3,6,9,33.33
1968,Regular Season,Houston Rockets,Detroit Pistons,2,4,6,33.33
1968,Regular Season,Houston Rockets,Golden State Warriors,2,4,6,33.33
1968,Regular Season,Houston Rockets,Los Angeles Lakers,0,9,9,0.0
1968,Regular Season,Houston Rockets,Milwaukee Bucks,0,1,1,0.0
1968,Regular Season,Houston Rockets,New York Knicks,2,4,6,33.33
1968,Regular Season,Houston Rockets,Oklahoma City Thunder,2,4,6,33.33
1968,Regular Season,Houston Rockets,Philadelphia 76ers,3,5,8,37.5
1968,Regular Season,Houston Rockets,Phoenix Suns,2,0,2,100.0
1968,Regular Season,Houston Rockets,Sacramento Kings,1,5,6,16.67
1968,Regular Season,Los Angeles Lakers,Atlanta Hawks,4,2,6,66.67
1968,Regular Season,Los Angeles Lakers,Boston Celtics,5,1,6,83.33
1968,Regular Season,Los Angeles Lakers,Chicago Bulls,4,3,7,57.14
1968,Regular Season,Los Angeles Lakers,Detroit Pistons,4,3,7,57.14
1968,Regular Season,Los Angeles Lakers,Golden State Warriors,6,3,9,66.67
1968,Regular Season,Los Angeles Lakers,Houston Rockets,9,0,9,100.0
1968,Regular Season,Los Angeles Lakers,Milwaukee Bucks,2,0,2,100.0
1968,Regular Season,Los Angeles Lakers,New York Knicks,4,2,6,66.67
1968,Regular Season,Los Angeles Lakers,Oklahoma City Thunder,7,2,9,77.78
1968,Regular Season,Los Angeles Lakers,Philadelphia 76ers,2,5,7,28.57
1968,Regular Season,Los Angeles Lakers,Phoenix Suns,3,0,3,100.0
1968,Regular Season,Los Angeles Lakers,Sacramento Kings,5,1,6,83.33
1968,Regular Season,Milwaukee Bucks,Atlanta Hawks,1,2,3,33.33
1968,Regular Season,Milwaukee Bucks,Boston Celtics,0,5,5,0.0
1968,Regular Season,Milwaukee Bucks,Chicago Bulls,0,4,4,0.0
1968,Regular Season,Milwaukee Bucks,Detroit Pistons,1,1,2,50.0
1968,Regular Season,Milwaukee Bucks,Golden State Warriors,3,1,4,75.0
1968,Regular Season,Milwaukee Bucks,Houston Rockets,1,0,1,100.0
1968,Regular Season,Milwaukee Bucks,Los Angeles Lakers,0,2,2,0.0
1968,Regular Season,Milwaukee Bucks,New York Knicks,0,2,2,0.0
1968,Regular Season,Milwaukee Bucks,Oklahoma City Thunder,2,3,5,40.0
1968,Regular Season,Milwaukee Bucks,Philadelphia 76ers,0,4,4,0.0
1968,Regular Season,Milwaukee Bucks,Phoenix Suns,2,0,2,100.0
1968,Regular Season,Milwaukee Bucks,Sacramento Kings,0,3,3,0.0
1968,Regular Season,New York Knicks,Atlanta Hawks,3,5,8,37.5
1968,Regular Season,New York Knicks,Boston Celtics,3,5,8,37.5
1968,Regular Season,New York Knicks,Chicago Bulls,7,1,8,87.5
1968,Regular Season,New York Knicks,Detroit Pistons,6,1,7,85.71
1968,Regular Season,New York Knicks,Golden State Warriors,6,2,8,75.0
1968,Regular Season,New York Knicks,Houston Rockets,4,2,6,66.67
1968,Regular Season,New York Knicks,Los Angeles Lakers,2,4,6,33.33
1968,Regular Season,New York Knicks,Milwaukee Bucks,2,0,2,100.0
1968,Regular Season,New York Knicks,Oklahoma City Thunder,6,1,7,85.71
1968,Regular Season,New York Knicks,Philadelphia 76ers,5,2,7,71.43
1968,Regular Season,New York Knicks,Phoenix Suns,1,1,2,50.0
1968,Regular Season,New York Knicks,Sacramento Kings,3,5,8,37.5
1968,Regular Season,Oklahoma City Thunder,Atlanta Hawks,1,8,9,11.11
1968,Regular Season,Oklahoma City Thunder,Boston Celtics,1,5,6,16.67
1968,Regular Season,Oklahoma City Thunder,Chicago Bulls,4,2,6,66.67
1968,Regular Season,Oklahoma City Thunder,Detroit Pistons,1,4,5,20.0
1968,Regular Season,Oklahoma City Thunder,Golden State Warriors,3,4,7,42.86
1968,Regular Season,Oklahoma City Thunder,Houston Rockets,4,2,6,66.67
1968,Regular Season,Oklahoma City Thunder,Los Angeles Lakers,2,7,9,22.22
1968,Regular Season,Oklahoma City Thunder,Milwaukee Bucks,3,2,5,60.0
1968,Regular Season,Oklahoma City Thunder,New York Knicks,1,6,7,14.29
1968,Regular Season,Oklahoma City Thunder,Philadelphia 76ers,0,5,5,0.0
1968,Regular Season,Oklahoma City Thunder,Phoenix Suns,3,2,5,60.0
1968,Regular Season,Oklahoma City Thunder,Sacramento Kings,1,3,4,25.0
1968,Regular Season,Philadelphia 76ers,Atlanta Hawks,4,1,5,80.0
1968,Regular Season,Philadelphia 76ers,Boston Celtics,3,3,6,50.0
1968,Regular Season,Philadelphia 76ers,Chicago Bulls,6,0,6,100.0
1968,Regular Season,Philadelphia 76ers,Detroit Pistons,5,1,6,83.33
1968,Regular Season,Philadelphia 76ers,Golden State Warriors,4,2,6,66.67
1968,Regular Season,Philadelphia 76ers,Houston Rockets,5,3,8,62.5
1968,Regular Season,Philadelphia 76ers,Los Angeles Lakers,5,2,7,71.43
1968,Regular Season,Philadelphia 76ers,Milwaukee Bucks,4,0,4,100.0
1968,Regular Season,Philadelphia 76ers,New York Knicks,2,5,7,28.57
1968,Regular Season,Philadelphia 76ers,Oklahoma City Thunder,5,0,5,100.0
1968,Regular Season,Philadelphia 76ers,Phoenix Suns,4,0,4,100.0
1968,Regular Season,Philadelphia 76ers,Sacramento Kings,4,4,8,50.0
1968,Regular Season,Phoenix Suns,Atlanta Hawks,0,2,2,0.0
1968,Regular Season,Phoenix Suns,Boston Celtics,0,2,2,0.0
1968,Regular Season,Phoenix Suns,Chicago Bulls,1,1,2,50.0
1968,Regular Season,Phoenix Suns,Detroit Pistons,2,2,4,50.0
1968,Regular Season,Phoenix Suns,Golden State Warriors,1,3,4,25.0
1968,Regular Season,Phoenix Suns,Houston Rockets,0,2,2,0.0
1968,Regular Season,Phoenix Suns,Los Angeles Lakers,0,3,3,0.0
1968,Regular Season,Phoenix Suns,Milwaukee Bucks,0,2,2,0.0
1968,Regular Season,Phoenix Suns,New York Knicks,1,1,2,50.0
1968,Regular Season,Phoenix Suns,Oklahoma City Thunder,2,3,5,40.0
1968,Regular Season,Phoenix Suns,Philadelphia 76ers,0,4,4,0.0
1968,Regular Season,Phoenix Suns,Sacramento Kings,1,2,3,33.33
1968,Regular Season,Sacramento Kings,Atlanta Hawks,3,6,9,33.33
1968,Regular Season,Sacramento Kings,Boston Celtics,4,4,8,50.0
1968,Regular Season,Sacramento Kings,Chicago Bulls,4,4,8,50.0
1968,Regular Season,Sacramento Kings,Detroit Pistons,4,3,7,57.14
1968,Regular Season,Sacramento Kings,Golden State Warriors,3,2,5,60.0
1968,Regular Season,Sacramento Kings,Houston Rockets,5,1,6,83.33
1968,Regular Season,Sacramento Kings,Los Angeles Lakers,1,5,6,16.67
1968,Regular Season,Sacramento Kings,Milwaukee Bucks,3,0,3,100.0
1968,Regular Season,Sacramento Kings,New York Knicks,5,3,8,62.5
1968,Regular Season,Sacramento Kings,Oklahoma City Thunder,3,1,4,75.0
1968,Regular Season,Sacramento Kings,Philadelphia 76ers,4,4,8,50.0
1968,Regular Season,Sacramento Kings,Phoenix Suns,2,1,3,66.67
1968,Playoffs,Atlanta Hawks,Golden State Warriors,2,4,6,33.33
1968,Playoffs,Boston Celtics,Detroit Pistons,4,2,6,66.67
1968,Playoffs,Boston Celtics,Los Angeles Lakers,4,2,6,66.67
1968,Playoffs,Boston Celtics,Philadelphia 76ers,4,3,7,57.14
1968,Playoffs,Chicago Bulls,Los Angeles Lakers,1,4,5,20.0
1968,Playoffs,Detroit Pistons,Boston Celtics,2,4,6,33.33
1968,Playoffs,Golden State Warriors,Atlanta Hawks,4,2,6,66.67
1968,Playoffs,Golden State Warriors,Los Angeles Lakers,0,4,4,0.0
1968,Playoffs,Los Angeles Lakers,Boston Celtics,2,4,6,33.33
1968,Playoffs,Los Angeles Lakers,Chicago Bulls,4,1,5,80.0
1968,Playoffs,Los Angeles Lakers,Golden State Warriors,4,0,4,100.0
1968,Playoffs,New York Knicks,Philadelphia 76ers,2,4,6,33.33
1968,Playoffs,Philadelphia 76ers,Boston Celtics,3,4,7,42.86
1968,Playoffs,Philadelphia 76ers,New York Knicks,4,2,6,66.67
1969,Regular Season,Atlanta Hawks,Boston Celtics,6,2,8,75.0
1969,Regular Season,Atlanta Hawks,Chicago Bulls,6,2,8,75.0
1969,Regular Season,Atlanta Hawks,Detroit Pistons,5,1,6,83.33
1969,Regular Season,Atlanta Hawks,Golden State Warriors,4,3,7,57.14
1969,Regular Season,Atlanta Hawks,Houston Rockets,4,5,9,44.44
1969,Regular Season,Atlanta Hawks,Los Angeles Lakers,4,2,6,66.67
1969,Regular Season,Atlanta Hawks,Milwaukee Bucks,2,3,5,40.0
1969,Regular Season,Atlanta Hawks,New York Knicks,2,4,6,33.33
1969,Regular Season,Atlanta Hawks,Oklahoma City Thunder,5,1,6,83.33
1969,Regular Season,Atlanta Hawks,Philadelphia 76ers,3,5,8,37.5
1969,Regular Season,Atlanta Hawks,Phoenix Suns,5,1,6,83.33
1969,Regular Season,Atlanta Hawks,Sacramento Kings,3,2,5,60.0
1969,Regular Season,Boston Celtics,Atlanta Hawks,2,6,8,25.0
1969,Regular Season,Boston Celtics,Chicago Bulls,4,3,7,57.14
1969,Regular Season,Boston Celtics,Detroit Pistons,4,1,5,80.0
1969,Regular Season,Boston Celtics,Golden State Warriors,3,4,7,42.86
1969,Regular Season,Boston Celtics,Houston Rockets,5,3,8,62.5
1969,Regular Season,Boston Celtics,Los Angeles Lakers,3,3,6,50.0
1969,Regular Season,Boston Celtics,Milwaukee Bucks,1,4,5,20.0
1969,Regular Season,Boston Celtics,New York Knicks,0,5,5,0.0
1969,Regular Season,Boston Celtics,Oklahoma City Thunder,4,2,6,66.67
1969,Regular Season,Boston Celtics,Philadelphia 76ers,4,4,8,50.0
1969,Regular Season,Boston Celtics,Phoenix Suns,5,1,6,83.33
1969,Regular Season,Boston Celtics,Sacramento Kings,2,3,5,40.0
1969,Regular Season,Chicago Bulls,Atlanta Hawks,2,6,8,25.0
1969,Regular Season,Chicago Bulls,Boston Celtics,3,4,7,42.86
1969,Regular Season,Chicago Bulls,Detroit Pistons,3,4,7,42.86
1969,Regular Season,Chicago Bulls,Golden State Warriors,5,2,7,71.43
1969,Regular Season,Chicago Bulls,Houston Rockets,2,3,5,40.0
1969,Regular Season,Chicago Bulls,Los Angeles Lakers,1,3,4,25.0
1969,Regular Season,Chicago Bulls,Milwaukee Bucks,2,2,4,50.0
1969,Regular Season,Chicago Bulls,New York Knicks,1,5,6,16.67
1969,Regular Season,Chicago Bulls,Oklahoma City Thunder,6,1,7,85.71
1969,Regular Season,Chicago Bulls,Philadelphia 76ers,2,6,8,25.0
1969,Regular Season,Chicago Bulls,Phoenix Suns,5,3,8,62.5
1969,Regular Season,Chicago Bulls,Sacramento Kings,0,3,3,0.0
1969,Regular Season,Detroit Pistons,Atlanta Hawks,1,5,6,16.67
1969,Regular Season,Detroit Pistons,Boston Celtics,1,4,5,20.0
1969,Regular Season,Detroit Pistons,Chicago Bulls,4,3,7,57.14
1969,Regular Season,Detroit Pistons,Golden State Warriors,1,5,6,16.67
1969,Regular Season,Detroit Pistons,Houston Rockets,3,4,7,42.86
1969,Regular Season,Detroit Pistons,Los Angeles Lakers,2,3,5,40.0
1969,Regular Season,Detroit Pistons,Milwaukee Bucks,1,7,8,12.5
1969,Regular Season,Detroit Pistons,New York Knicks,3,4,7,42.86
1969,Regular Season,Detroit Pistons,Oklahoma City Thunder,3,4,7,42.86
1969,Regular Season,Detroit Pistons,Philadelphia 76ers,3,5,8,37.5
1969,Regular Season,Detroit Pistons,Phoenix Suns,4,1,5,80.0
1969,Regular Season,Detroit Pistons,Sacramento Kings,5,2,7,71.43
1969,Regular Season,Golden State Warriors,Atlanta Hawks,3,4,7,42.86
1969,Regular Season,Golden State Warriors,Boston Celtics,4,3,7,57.14
1969,Regular Season,Golden State Warriors,Chicago Bulls,2,5,7,28.57
1969,Regular Season,Golden State Warriors,Detroit Pistons,5,1,6,83.33
1969,Regular Season,Golden State Warriors,Houston Rockets,4,4,8,50.0
1969,Regular Season,Golden State Warriors,Los Angeles Lakers,4,3,7,57.14
1969,Regular Season,Golden State Warriors,Milwaukee Bucks,4,2,6,66.67
1969,Regular Season,Golden State Warriors,New York Knicks,1,4,5,20.0
1969,Regular Season,Golden State Warriors,Oklahoma City Thunder,4,1,5,80.0
1969,Regular Season,Golden State Warriors,Philadelphia 76ers,3,4,7,42.86
1969,Regular Season,Golden State Warriors,Phoenix Suns,1,1,2,50.0
1969,Regular Season,Golden State Warriors,Sacramento Kings,6,2,8,75.0
1969,Regular Season,Houston Rockets,Atlanta Hawks,5,4,9,55.56
1969,Regular Season,Houston Rockets,Boston Celtics,3,5,8,37.5
1969,Regular Season,Houston Rockets,Chicago Bulls,3,2,5,60.0
1969,Regular Season,Houston Rockets,Detroit Pistons,4,3,7,57.14
1969,Regular Season,Houston Rockets,Golden State Warriors,4,4,8,50.0
1969,Regular Season,Houston Rockets,Los Angeles Lakers,1,5,6,16.67
1969,Regular Season,Houston Rockets,Milwaukee Bucks,2,7,9,22.22
1969,Regular Season,Houston Rockets,New York Knicks,1,3,4,25.0
1969,Regular Season,Houston Rockets,Oklahoma City Thunder,3,3,6,50.0
1969,Regular Season,Houston Rockets,Philadelphia 76ers,1,2,3,33.33
1969,Regular Season,Houston Rockets,Phoenix Suns,5,3,8,62.5
1969,Regular Season,Houston Rockets,Sacramento Kings,4,3,7,57.14
1969,Regular Season,Los Angeles Lakers,Atlanta Hawks,2,4,6,33.33
1969,Regular Season,Los Angeles Lakers,Boston Celtics,3,3,6,50.0
1969,Regular Season,Los Angeles Lakers,Chicago Bulls,3,1,4,75.0
1969,Regular Season,Los Angeles Lakers,Detroit Pistons,3,2,5,60.0
1969,Regular Season,Los Angeles Lakers,Golden State Warriors,3,4,7,42.86
1969,Regular Season,Los Angeles Lakers,Houston Rockets,5,1,6,83.33
1969,Regular Season,Los Angeles Lakers,Milwaukee Bucks,4,2,6,66.67
1969,Regular Season,Los Angeles Lakers,New York Knicks,3,3,6,50.0
1969,Regular Season,Los Angeles Lakers,Oklahoma City Thunder,4,1,5,80.0
1969,Regular Season,Los Angeles Lakers,Philadelphia 76ers,2,5,7,28.57
1969,Regular Season,Los Angeles Lakers,Phoenix Suns,4,3,7,57.14
1969,Regular Season,Los Angeles Lakers,Sacramento Kings,5,3,8,62.5
1969,Regular Season,Milwaukee Bucks,Atlanta Hawks,3,2,5,60.0
1969,Regular Season,Milwaukee Bucks,Boston Celtics,4,1,5,80.0
1969,Regular Season,Milwaukee Bucks,Chicago Bulls,2,2,4,50.0
1969,Regular Season,Milwaukee Bucks,Detroit Pistons,7,1,8,87.5
1969,Regular Season,Milwaukee Bucks,Golden State Warriors,2,4,6,33.33
1969,Regular Season,Milwaukee Bucks,Houston Rockets,7,2,9,77.78
1969,Regular Season,Milwaukee Bucks,Los Angeles Lakers,2,4,6,33.33
1969,Regular Season,Milwaukee Bucks,New York Knicks,0,8,8,0.0
1969,Regular Season,Milwaukee Bucks,Oklahoma City Thunder,4,2,6,66.67
1969,Regular Season,Milwaukee Bucks,Philadelphia 76ers,2,3,5,40.0
1969,Regular Season,Milwaukee Bucks,Phoenix Suns,6,2,8,75.0
1969,Regular Season,Milwaukee Bucks,Sacramento Kings,1,4,5,20.0
1969,Regular Season,New York Knicks,Atlanta Hawks,4,2,6,66.67
1969,Regular Season,New York Knicks,Boston Celtics,5,0,5,100.0
1969,Regular Season,New York Knicks,Chicago Bulls,5,1,6,83.33
1969,Regular Season,New York Knicks,Detroit Pistons,4,3,7,57.14
1969,Regular Season,New York Knicks,Golden State Warriors,4,1,5,80.0
1969,Regular Season,New York Knicks,Houston Rockets,3,1,4,75.0
1969,Regular Season,New York Knicks,Los Angeles Lakers,3,3,6,50.0
1969,Regular Season,New York Knicks,Milwaukee Bucks,8,0,8,100.0
1969,Regular Season,New York Knicks,Oklahoma City Thunder,5,1,6,83.33
1969,Regular Season,New York Knicks,Philadelphia 76ers,3,3,6,50.0
1969,Regular Season,New York Knicks,Phoenix Suns,8,0,8,100.0
1969,Regular Season,New York Knicks,Sacramento Kings,4,2,6,66.67
1969,Regular Season,Oklahoma City Thunder,Atlanta Hawks,1,5,6,16.67
1969,Regular Season,Oklahoma City Thunder,Boston Celtics,2,4,6,33.33
1969,Regular Season,Oklahoma City Thunder,Chicago Bulls,1,6,7,14.29
1969,Regular Season,Oklahoma City Thunder,Detroit Pistons,4,3,7,57.14
1969,Regular Season,Oklahoma City Thunder,Golden State Warriors,1,4,5,20.0
1969,Regular Season,Oklahoma City Thunder,Houston Rockets,3,3,6,50.0
1969,Regular Season,Oklahoma City Thunder,Los Angeles Lakers,1,4,5,20.0
1969,Regular Season,Oklahoma City Thunder,Milwaukee Bucks,2,4,6,33.33
1969,Regular Season,Oklahoma City Thunder,New York Knicks,1,5,6,16.67
1969,Regular Season,Oklahoma City Thunder,Philadelphia 76ers,3,3,6,50.0
1969,Regular Season,Oklahoma City Thunder,Phoenix Suns,2,3,5,40.0
1969,Regular Season,Oklahoma City Thunder,Sacramento Kings,6,3,9,66.67
1969,Regular Season,Philadelphia 76ers,Atlanta Hawks,5,3,8,62.5
1969,Regular Season,Philadelphia 76ers,Boston Celtics,4,4,8,50.0
1969,Regular Season,Philadelphia 76ers,Chicago Bulls,6,2,8,75.0
1969,Regular Season,Philadelphia 76ers,Detroit Pistons,5,3,8,62.5
1969,Regular Season,Philadelphia 76ers,Golden State Warriors,4,3,7,57.14
1969,Regular Season,Philadelphia 76ers,Houston Rockets,2,1,3,66.67
1969,Regular Season,Philadelphia 76ers,Los Angeles Lakers,5,2,7,71.43
1969,Regular Season,Philadelphia 76ers,Milwaukee Bucks,3,2,5,60.0
1969,Regular Season,Philadelphia 76ers,New York Knicks,3,3,6,50.0
1969,Regular Season,Philadelphia 76ers,Oklahoma City Thunder,3,3,6,50.0
1969,Regular Season,Philadelphia 76ers,Phoenix Suns,4,1,5,80.0
1969,Regular Season,Philadelphia 76ers,Sacramento Kings,4,5,9,44.44
1969,Regular Season,Phoenix Suns,Atlanta Hawks,1,5,6,16.67
1969,Regular Season,Phoenix Suns,Boston Celtics,1,5,6,16.67
1969,Regular Season,Phoenix Suns,Chicago Bulls,3,5,8,37.5
1969,Regular Season,Phoenix Suns,Detroit Pistons,1,4,5,20.0
1969,Regular Season,Phoenix Suns,Golden State Warriors,1,1,2,50.0
1969,Regular Season,Phoenix Suns,Houston Rockets,3,5,8,37.5
1969,Regular Season,Phoenix Suns,Los Angeles Lakers,3,4,7,42.86
1969,Regular Season,Phoenix Suns,Milwaukee Bucks,2,6,8,25.0
1969,Regular Season,Phoenix Suns,New York Knicks,0,8,8,0.0
1969,Regular Season,Phoenix Suns,Oklahoma City Thunder,3,2,5,60.0
1969,Regular Season,Phoenix Suns,Philadelphia 76ers,1,4,5,20.0
1969,Regular Season,Phoenix Suns,Sacramento Kings,3,4,7,42.86
1969,Regular Season,Sacramento Kings,Atlanta Hawks,2,3,5,40.0
1969,Regular Season,Sacramento Kings,Boston Celtics,3,2,5,60.0
1969,Regular Season,Sacramento Kings,Chicago Bulls,3,0,3,100.0
1969,Regular Season,Sacramento Kings,Detroit Pistons,2,5,7,28.57
1969,Regular Season,Sacramento Kings,Golden State Warriors,2,6,8,25.0
1969,Regular Season,Sacramento Kings,Houston Rockets,3,4,7,42.86
1969,Regular Season,Sacramento Kings,Los Angeles Lakers,3,5,8,37.5
1969,Regular Season,Sacramento Kings,Milwaukee Bucks,4,1,5,80.0
1969,Regular Season,Sacramento Kings,New York Knicks,2,4,6,33.33
1969,Regular Season,Sacramento Kings,Oklahoma City Thunder,3,6,9,33.33
1969,Regular Season,Sacramento Kings,Philadelphia 76ers,5,4,9,55.56
1969,Regular Season,Sacramento Kings,Phoenix Suns,4,3,7,57.14
1969,Playoffs,Atlanta Hawks,Houston Rockets,4,2,6,66.67
1969,Playoffs,Atlanta Hawks,Los Angeles Lakers,1,4,5,20.0
1969,Playoffs,Boston Celtics,Los Angeles Lakers,4,3,7,57.14
1969,Playoffs,Boston Celtics,New York Knicks,4,2,6,66.67
1969,Playoffs,Boston Celtics,Philadelphia 76ers,4,1,5,80.0
1969,Playoffs,Golden State Warriors,Los Angeles Lakers,2,4,6,33.33
1969,Playoffs,Houston Rockets,Atlanta Hawks,2,4,6,33.33
1969,Playoffs,Los Angeles Lakers,Atlanta Hawks,4,1,5,80.0
1969,Playoffs,Los Angeles Lakers,Boston Celtics,3,4,7,42.86
1969,Playoffs,Los Angeles Lakers,Golden State Warriors,4,2,6,66.67
1969,Playoffs,New York Knicks,Boston Celtics,2,4,6,33.33
1969,Playoffs,Philadelphia 76ers,Boston Celtics,1,4,5,20.0
1970,Regular Season,Atlanta Hawks,Boston Celtics,3,1,4,75.0
1970,Regular Season,Atlanta Hawks,Chicago Bulls,2,3,5,40.0
1970,Regular Season,Atlanta Hawks,Cleveland Cavaliers,2,0,2,100.0
1970,Regular Season,Atlanta Hawks,Detroit Pistons,2,5,7,28.57
1970,Regular Season,Atlanta Hawks,Golden State Warriors,2,4,6,33.33
1970,Regular Season,Atlanta Hawks,Houston Rockets,3,3,6,50.0
1970,Regular Season,Atlanta Hawks,Los Angeles Clippers,1,1,2,50.0
1970,Regular Season,Atlanta Hawks,Los Angeles Lakers,3,5,8,37.5
1970,Regular Season,Atlanta Hawks,Milwaukee Bucks,3,3,6,50.0
1970,Regular Season,Atlanta Hawks,New York Knicks,3,2,5,60.0
1970,Regular Season,Atlanta Hawks,Oklahoma City Thunder,2,3,5,40.0
1970,Regular Season,Atlanta Hawks,Philadelphia 76ers,3,3,6,50.0
1970,Regular Season,Atlanta Hawks,Phoenix Suns,1,6,7,14.29
1970,Regular Season,Atlanta Hawks,Portland Trail Blazers,1,1,2,50.0
1970,Regular Season,Atlanta Hawks,Sacramento Kings,2,4,6,33.33
1970,Regular Season,Boston Celtics,Atlanta Hawks,1,3,4,25.0
1970,Regular Season,Boston Celtics,Chicago Bulls,2,2,4,50.0
1970,Regular Season,Boston Celtics,Cleveland Cavaliers,2,0,2,100.0
1970,Regular Season,Boston Celtics,Detroit Pistons,3,4,7,42.86
1970,Regular Season,Boston Celtics,Golden State Warriors,3,4,7,42.86
1970,Regular Season,Boston Celtics,Houston Rockets,2,1,3,66.67
1970,Regular Season,Boston Celtics,Los Angeles Clippers,4,0,4,100.0
1970,Regular Season,Boston Celtics,Los Angeles Lakers,2,4,6,33.33
1970,Regular Season,Boston Celtics,Milwaukee Bucks,0,5,5,0.0
1970,Regular Season,Boston Celtics,New York Knicks,4,4,8,50.0
1970,Regular Season,Boston Celtics,Oklahoma City Thunder,5,3,8,62.5
1970,Regular Season,Boston Celtics,Philadelphia 76ers,3,2,5,60.0
1970,Regular Season,Boston Celtics,Phoenix Suns,2,4,6,33.33
1970,Regular Season,Boston Celtics,Portland Trail Blazers,2,1,3,66.67
1970,Regular Season,Boston Celtics,Sacramento Kings,5,1,6,83.33
1970,Regular Season,Chicago Bulls,Atlanta Hawks,3,2,5,60.0
1970,Regular Season,Chicago Bulls,Boston Celtics,2,2,4,50.0
1970,Regular Season,Chicago Bulls,Cleveland Cavaliers,2,0,2,100.0
1970,Regular Season,Chicago Bulls,Detroit Pistons,3,4,7,42.86
1970,Regular Season,Chicago Bulls,Golden State Warriors,3,3,6,50.0
1970,Regular Season,Chicago Bulls,Houston Rockets,5,2,7,71.43
1970,Regular Season,Chicago Bulls,Los Angeles Clippers,3,0,3,100.0
1970,Regular Season,Chicago Bulls,Los Angeles Lakers,4,3,7,57.14
1970,Regular Season,Chicago Bulls,Milwaukee Bucks,3,3,6,50.0
1970,Regular Season,Chicago Bulls,New York Knicks,1,4,5,20.0
1970,Regular Season,Chicago Bulls,Oklahoma City Thunder,2,5,7,28.57
1970,Regular Season,Chicago Bulls,Philadelphia 76ers,3,1,4,75.0
1970,Regular Season,Chicago Bulls,Phoenix Suns,4,1,5,80.0
1970,Regular Season,Chicago Bulls,Portland Trail Blazers,1,0,1,100.0
1970,Regular Season,Chicago Bulls,Sacramento Kings,5,2,7,71.43
1970,Regular Season,Cleveland Cavaliers,Atlanta Hawks,0,2,2,0.0
1970,Regular Season,Cleveland Cavaliers,Boston Celtics,0,2,2,0.0
1970,Regular Season,Cleveland Cavaliers,Chicago Bulls,0,2,2,0.0
1970,Regular Season,Cleveland Cavaliers,Detroit Pistons,0,1,1,0.0
1970,Regular Season,Cleveland Cavaliers,Golden State Warriors,0,3,3,0.0
1970,Regular Season,Cleveland Cavaliers,Houston Rockets,0,3,3,0.0
1970,Regular Season,Cleveland Cavaliers,Los Angeles Clippers,3,3,6,50.0
1970,Regular Season,Cleveland Cavaliers,Los Angeles Lakers,0,1,1,0.0
1970,Regular Season,Cleveland Cavaliers,Milwaukee Bucks,0,3,3,0.0
1970,Regular Season,Cleveland Cavaliers,New York Knicks,0,3,3,0.0
1970,Regular Season,Cleveland Cavaliers,Oklahoma City Thunder,0,2,2,0.0
1970,Regular Season,Cleveland Cavaliers,Philadelphia 76ers,1,1,2,50.0
1970,Regular Season,Cleveland Cavaliers,Phoenix Suns,0,2,2,0.0
1970,Regular Season,Cleveland Cavaliers,Portland Trail Blazers,1,5,6,16.67
1970,Regular Season,Cleveland Cavaliers,Sacramento Kings,0,4,4,0.0
