year,gameType,team,opponent,wins,losses,total_games,win_pct
1949,Regular Season,Los Angeles Lakers,Sacramento Kings,2,2,4,50.0
1949,Regular Season,New York Knicks,Atlanta Hawks,1,0,1,100.0
1949,Regular Season,New York Knicks,Boston Celtics,4,3,7,57.14
1949,Regular Season,New York Knicks,Detroit Pistons,2,2,4,50.0
1949,Regular Season,New York Knicks,Golden State Warriors,4,3,7,57.14
1949,Regular Season,New York Knicks,Los Angeles Lakers,1,4,5,20.0
1949,Regular Season,New York Knicks,Philadelphia 76ers,0,2,2,0.0
1949,Regular Season,New York Knicks,Sacramento Kings,0,4,4,0.0
1949,Regular Season,Philadelphia 76ers,Atlanta Hawks,3,0,3,100.0
1949,Regular Season,Philadelphia 76ers,Boston Celtics,1,0,1,100.0
1949,Regular Season,Philadelphia 76ers,Detroit Pistons,1,0,1,100.0
1949,Regular Season,Philadelphia 76ers,Golden State Warriors,2,0,2,100.0
1949,Regular Season,Philadelphia 76ers,New York Knicks,2,0,2,100.0
1949,Regular Season,Philadelphia 76ers,Sacramento Kings,0,1,1,0.0
1949,Regular Season,Sacramento Kings,Atlanta Hawks,1,0,1,100.0
1949,Regular Season,Sacramento Kings,Boston Celtics,3,1,4,75.0
1949,Regular Season,Sacramento Kings,Detroit Pistons,5,1,6,83.33
1949,Regular Season,Sacramento Kings,Golden State Warriors,5,0,5,100.0
1949,Regular Season,Sacramento Kings,Los Angeles Lakers,2,2,4,50.0
1949,Regular Season,Sacramento Kings,New York Knicks,4,0,4,100.0
1949,Regular Season,Sacramento Kings,Philadelphia 76ers,1,0,1,100.0
1949,Playoffs,Los Angeles Lakers,Sacramento Kings,2,0,2,100.0
1949,Playoffs,Sacramento Kings,Los Angeles Lakers,0,2,2,0.0
1950,Regular Season,Atlanta Hawks,Boston Celtics,1,1,2,50.0
1950,Regular Season,Atlanta Hawks,Detroit Pistons,3,2,5,60.0
1950,Regular Season,Atlanta Hawks,Golden State Warriors,1,1,2,50.0
1950,Regular Season,Atlanta Hawks,Los Angeles Lakers,0,5,5,0.0
1950,Regular Season,Atlanta Hawks,New York Knicks,3,1,4,75.0
1950,Regular Season,Atlanta Hawks,Philadelphia 76ers,4,4,8,50.0
1950,Regular Season,Atlanta Hawks,Sacramento Kings,1,2,3,33.33
1950,Regular Season,Boston Celtics,Atlanta Hawks,1,1,2,50.0
1950,Regular Season,Boston Celtics,Detroit Pistons,2,3,5,40.0
1950,Regular Season,Boston Celtics,Golden State Warriors,2,4,6,33.33
1950,Regular Season,Boston Celtics,Los Angeles Lakers,2,3,5,40.0
1950,Regular Season,Boston Celtics,New York Knicks,3,6,9,33.33
1950,Regular Season,Boston Celtics,Philadelphia 76ers,1,2,3,33.33
1950,Regular Season,Boston Celtics,Sacramento Kings,1,7,8,12.5
1950,Regular Season,Detroit Pistons,Atlanta Hawks,2,3,5,40.0
1950,Regular Season,Detroit Pistons,Boston Celtics,3,2,5,60.0
1950,Regular Season,Detroit Pistons,Golden State Warriors,3,4,7,42.86
1950,Regular Season,Detroit Pistons,Los Angeles Lakers,3,3,6,50.0
1950,Regular Season,Detroit Pistons,New York Knicks,3,2,5,60.0
1950,Regular Season,Detroit Pistons,Philadelphia 76ers,1,3,4,25.0
1950,Regular Season,Detroit Pistons,Sacramento Kings,4,5,9,44.44
1950,Regular Season,Golden State Warriors,Atlanta Hawks,1,1,2,50.0
1950,Regular Season,Golden State Warriors,Boston Celtics,4,2,6,66.67
1950,Regular Season,Golden State Warriors,Detroit Pistons,4,3,7,57.14
1950,Regular Season,Golden State Warriors,Los Angeles Lakers,3,5,8,37.5
1950,Regular Season,Golden State Warriors,New York Knicks,2,6,8,25.0
1950,Regular Season,Golden State Warriors,Philadelphia 76ers,2,0,2,100.0
1950,Regular Season,Golden State Warriors,Sacramento Kings,2,4,6,33.33
1950,Regular Season,Los Angeles Lakers,Atlanta Hawks,5,0,5,100.0
1950,Regular Season,Los Angeles Lakers,Boston Celtics,3,2,5,60.0
1950,Regular Season,Los Angeles Lakers,Detroit Pistons,3,3,6,50.0
1950,Regular Season,Los Angeles Lakers,Golden State Warriors,5,3,8,62.5
1950,Regular Season,Los Angeles Lakers,New York Knicks,5,1,6,83.33
1950,Regular Season,Los Angeles Lakers,Philadelphia 76ers,2,2,4,50.0
1950,Regular Season,Los Angeles Lakers,Sacramento Kings,5,4,9,55.56
1950,Regular Season,New York Knicks,Atlanta Hawks,1,3,4,25.0
1950,Regular Season,New York Knicks,Boston Celtics,6,3,9,66.67
1950,Regular Season,New York Knicks,Detroit Pistons,2,3,5,40.0
1950,Regular Season,New York Knicks,Golden State Warriors,6,2,8,75.0
1950,Regular Season,New York Knicks,Los Angeles Lakers,1,5,6,16.67
1950,Regular Season,New York Knicks,Philadelphia 76ers,2,2,4,50.0
1950,Regular Season,New York Knicks,Sacramento Kings,2,3,5,40.0
1950,Regular Season,Philadelphia 76ers,Atlanta Hawks,4,4,8,50.0
1950,Regular Season,Philadelphia 76ers,Boston Celtics,2,1,3,66.67
1950,Regular Season,Philadelphia 76ers,Detroit Pistons,3,1,4,75.0
1950,Regular Season,Philadelphia 76ers,Golden State Warriors,0,2,2,0.0
1950,Regular Season,Philadelphia 76ers,Los Angeles Lakers,2,2,4,50.0
1950,Regular Season,Philadelphia 76ers,New York Knicks,2,2,4,50.0
1950,Regular Season,Philadelphia 76ers,Sacramento Kings,2,1,3,66.67
1950,Regular Season,Sacramento Kings,Atlanta Hawks,2,1,3,66.67
1950,Regular Season,Sacramento Kings,Boston Celtics,7,1,8,87.5
1950,Regular Season,Sacramento Kings,Detroit Pistons,5,4,9,55.56
1950,Regular Season,Sacramento Kings,Golden State Warriors,4,2,6,66.67
1950,Regular Season,Sacramento Kings,Los Angeles Lakers,4,5,9,44.44
1950,Regular Season,Sacramento Kings,New York Knicks,3,2,5,60.0
1950,Regular Season,Sacramento Kings,Philadelphia 76ers,1,2,3,33.33
1950,Playoffs,Detroit Pistons,Los Angeles Lakers,0,2,2,0.0
1950,Playoffs,Detroit Pistons,Sacramento Kings,2,0,2,100.0
1950,Playoffs,Golden State Warriors,Philadelphia 76ers,0,2,2,0.0
1950,Playoffs,Los Angeles Lakers,Detroit Pistons,2,0,2,100.0
1950,Playoffs,Los Angeles Lakers,Philadelphia 76ers,4,2,6,66.67
1950,Playoffs,New York Knicks,Philadelphia 76ers,1,2,3,33.33
1950,Playoffs,Philadelphia 76ers,Golden State Warriors,2,0,2,100.0
1950,Playoffs,Philadelphia 76ers,Los Angeles Lakers,2,4,6,33.33
1950,Playoffs,Philadelphia 76ers,New York Knicks,2,1,3,66.67
1950,Playoffs,Sacramento Kings,Detroit Pistons,0,2,2,0.0
1951,Regular Season,Atlanta Hawks,Boston Celtics,1,5,6,16.67
1951,Regular Season,Atlanta Hawks,Detroit Pistons,4,5,9,44.44
1951,Regular Season,Atlanta Hawks,Golden State Warriors,2,6,8,25.0
1951,Regular Season,Atlanta Hawks,Los Angeles Lakers,0,8,8,0.0
1951,Regular Season,Atlanta Hawks,New York Knicks,1,5,6,16.67
1951,Regular Season,Atlanta Hawks,Philadelphia 76ers,2,4,6,33.33
1951,Regular Season,Atlanta Hawks,Sacramento Kings,3,8,11,27.27
1951,Regular Season,Boston Celtics,Atlanta Hawks,5,1,6,83.33
1951,Regular Season,Boston Celtics,Detroit Pistons,5,2,7,71.43
1951,Regular Season,Boston Celtics,Golden State Warriors,8,3,11,72.73
1951,Regular Season,Boston Celtics,Los Angeles Lakers,2,5,7,28.57
1951,Regular Season,Boston Celtics,New York Knicks,4,4,8,50.0
1951,Regular Season,Boston Celtics,Philadelphia 76ers,3,5,8,37.5
1951,Regular Season,Boston Celtics,Sacramento Kings,1,2,3,33.33
1951,Regular Season,Detroit Pistons,Atlanta Hawks,5,4,9,55.56
1951,Regular Season,Detroit Pistons,Boston Celtics,2,5,7,28.57
1951,Regular Season,Detroit Pistons,Golden State Warriors,2,3,5,40.0
1951,Regular Season,Detroit Pistons,Los Angeles Lakers,5,5,10,50.0
1951,Regular Season,Detroit Pistons,New York Knicks,3,5,8,37.5
1951,Regular Season,Detroit Pistons,Philadelphia 76ers,2,5,7,28.57
1951,Regular Season,Detroit Pistons,Sacramento Kings,2,6,8,25.0
1951,Regular Season,Golden State Warriors,Atlanta Hawks,6,2,8,75.0
1951,Regular Season,Golden State Warriors,Boston Celtics,3,8,11,27.27
1951,Regular Season,Golden State Warriors,Detroit Pistons,3,2,5,60.0
1951,Regular Season,Golden State Warriors,Los Angeles Lakers,3,2,5,60.0
1951,Regular Season,Golden State Warriors,New York Knicks,4,4,8,50.0
1951,Regular Season,Golden State Warriors,Philadelphia 76ers,5,4,9,55.56
1951,Regular Season,Golden State Warriors,Sacramento Kings,4,3,7,57.14
1951,Regular Season,Los Angeles Lakers,Atlanta Hawks,8,0,8,100.0
1951,Regular Season,Los Angeles Lakers,Boston Celtics,5,2,7,71.43
1951,Regular Season,Los Angeles Lakers,Detroit Pistons,5,5,10,50.0
1951,Regular Season,Los Angeles Lakers,Golden State Warriors,2,3,5,40.0
1951,Regular Season,Los Angeles Lakers,New York Knicks,3,3,6,50.0
1951,Regular Season,Los Angeles Lakers,Philadelphia 76ers,3,3,6,50.0
1951,Regular Season,Los Angeles Lakers,Sacramento Kings,4,2,6,66.67
1951,Regular Season,New York Knicks,Atlanta Hawks,5,1,6,83.33
1951,Regular Season,New York Knicks,Boston Celtics,4,4,8,50.0
1951,Regular Season,New York Knicks,Detroit Pistons,5,3,8,62.5
1951,Regular Season,New York Knicks,Golden State Warriors,4,4,8,50.0
1951,Regular Season,New York Knicks,Los Angeles Lakers,3,3,6,50.0
1951,Regular Season,New York Knicks,Philadelphia 76ers,5,5,10,50.0
1951,Regular Season,New York Knicks,Sacramento Kings,2,6,8,25.0
1951,Regular Season,Philadelphia 76ers,Atlanta Hawks,4,2,6,66.67
1951,Regular Season,Philadelphia 76ers,Boston Celtics,5,3,8,62.5
1951,Regular Season,Philadelphia 76ers,Detroit Pistons,5,2,7,71.43
1951,Regular Season,Philadelphia 76ers,Golden State Warriors,4,5,9,44.44
1951,Regular Season,Philadelphia 76ers,Los Angeles Lakers,3,3,6,50.0
1951,Regular Season,Philadelphia 76ers,New York Knicks,5,5,10,50.0
1951,Regular Season,Philadelphia 76ers,Sacramento Kings,2,4,6,33.33
1951,Regular Season,Sacramento Kings,Atlanta Hawks,8,3,11,72.73
1951,Regular Season,Sacramento Kings,Boston Celtics,2,1,3,66.67
1951,Regular Season,Sacramento Kings,Detroit Pistons,6,2,8,75.0
1951,Regular Season,Sacramento Kings,Golden State Warriors,3,4,7,42.86
1951,Regular Season,Sacramento Kings,Los Angeles Lakers,2,4,6,33.33
1951,Regular Season,Sacramento Kings,New York Knicks,6,2,8,75.0
1951,Regular Season,Sacramento Kings,Philadelphia 76ers,4,2,6,66.67
1951,Playoffs,Boston Celtics,New York Knicks,0,2,2,0.0
1951,Playoffs,Detroit Pistons,Sacramento Kings,1,2,3,33.33
1951,Playoffs,Golden State Warriors,Philadelphia 76ers,0,2,2,0.0
1951,Playoffs,Los Angeles Lakers,Sacramento Kings,1,3,4,25.0
1951,Playoffs,New York Knicks,Boston Celtics,2,0,2,100.0
1951,Playoffs,New York Knicks,Philadelphia 76ers,3,2,5,60.0
1951,Playoffs,New York Knicks,Sacramento Kings,3,4,7,42.86
1951,Playoffs,Philadelphia 76ers,Golden State Warriors,2,0,2,100.0
1951,Playoffs,Philadelphia 76ers,New York Knicks,2,3,5,40.0
1951,Playoffs,Sacramento Kings,Detroit Pistons,2,1,3,66.67
1951,Playoffs,Sacramento Kings,Los Angeles Lakers,3,1,4,75.0
1951,Playoffs,Sacramento Kings,New York Knicks,4,3,7,57.14
1952,Regular Season,Atlanta Hawks,Boston Celtics,2,5,7,28.57
1952,Regular Season,Atlanta Hawks,Detroit Pistons,4,6,10,40.0
1952,Regular Season,Atlanta Hawks,Golden State Warriors,2,4,6,33.33
1952,Regular Season,Atlanta Hawks,Los Angeles Lakers,2,9,11,18.18
1952,Regular Season,Atlanta Hawks,New York Knicks,1,4,5,20.0
1952,Regular Season,Atlanta Hawks,Philadelphia 76ers,1,4,5,20.0
1952,Regular Season,Atlanta Hawks,Sacramento Kings,1,8,9,11.11
1952,Regular Season,Boston Celtics,Atlanta Hawks,5,2,7,71.43
1952,Regular Season,Boston Celtics,Detroit Pistons,4,1,5,80.0
1952,Regular Season,Boston Celtics,Golden State Warriors,7,2,9,77.78
1952,Regular Season,Boston Celtics,Los Angeles Lakers,2,5,7,28.57
1952,Regular Season,Boston Celtics,New York Knicks,1,5,6,16.67
1952,Regular Season,Boston Celtics,Philadelphia 76ers,7,7,14,50.0
1952,Regular Season,Boston Celtics,Sacramento Kings,5,3,8,62.5
1952,Regular Season,Detroit Pistons,Atlanta Hawks,6,4,10,60.0
1952,Regular Season,Detroit Pistons,Boston Celtics,1,4,5,20.0
