year,date,team_a,team_b,score_a,score_b,venue,notes
2015,9/18,Boston College,Florida State,0,14,,
2015,9/26,Boston College,Northern Illinois,17,14,,
2015,10/3,Boston College,Duke,7,9,,
2015,10/10,Boston College,Wake Forest,0,3,,
2015,10/17,Boston College,Clemson,17,34,,
2015,10/24,Boston College,Louisville,14,17,,
2015,10/31,Boston College,Virginia Tech,10,26,,
2015,11/7,Boston College,North Carolina State,8,24,,
2015,11/21,Boston College,Notre Dame,16,19,"@ Boston, MA",
2015,11/28,Boston College,Syracuse,17,20,,
2014,8/30,Boston College,Massachusetts,30,7,,
2014,9/5,Boston College,Pittsburgh,20,30,,
2014,9/13,Boston College,Southern California,37,31,,
2014,9/20,Boston College,Maine,40,10,,
2014,9/27,Boston College,Colorado State,21,24,,
2014,10/11,Boston College,North Carolina State,30,14,,
2014,10/18,Boston College,Clemson,13,17,,
2014,10/25,Boston College,Wake Forest,23,17,,
2014,11/1,Boston College,Virginia Tech,33,31,,
2014,11/8,Boston College,Louisville,19,38,,
2014,11/22,Boston College,Florida State,17,20,,
2014,11/29,Boston College,Syracuse,28,7,,
2014,12/27,Boston College,Penn State,30,31,"@ Bronx, NY",Pinstripe Bowl
2013,8/31,Boston College,Villanova,24,14,,
2013,9/6,Boston College,Wake Forest,24,10,,
2013,9/14,Boston College,Southern California,7,35,,
2013,9/28,Boston College,Florida State,34,48,,
2013,10/5,Army,Boston College,27,48,,
2013,10/12,Boston College,Clemson,14,24,,
2013,10/26,Boston College,North Carolina,10,34,,
2013,11/2,Boston College,Virginia Tech,34,27,,
2013,11/9,Boston College,New Mexico State,48,34,,
2013,11/16,Boston College,North Carolina State,38,21,,
2013,11/23,Boston College,Maryland,29,26,,
2013,11/30,Boston College,Syracuse,31,34,,
2013,12/31,Arizona,Boston College,42,19,"@ Shreveport, LA",AdvoCare V100 Bowl
2012,9/1,Boston College,Miami (Florida),32,41,,
2012,9/8,Boston College,Maine,34,3,,
2012,9/15,Boston College,Northwestern,13,22,,
2012,9/29,Boston College,Clemson,31,45,,
2012,10/6,Army,Boston College,34,31,,
2012,10/13,Boston College,Florida State,7,51,,
2012,10/20,Boston College,Georgia Tech,17,37,,
