year,date,team_a,team_b,score_a,score_b,venue,notes
1911,9/30,Wake Forest,Warrenton Preparatory,52,0,,
1911,10/14,Roanoke,Wake Forest,0,62,,
1911,10/21,Wake Forest,Washington & Lee,5,18,,
1911,11/11,Davidson,Wake Forest,9,0,"@ Greensboro, NC",
1911,11/23,USS Franklin,Wake Forest,0,26,"@ Durham, NC",
1910,9/24,Wake Forest,Warrenton Preparatory,17,0,,
1910,10/8,Horner,Wake Forest,0,28,,
1910,10/27,South Carolina,Wake Forest,6,0,,
1910,10/29,Citadel,Wake Forest,9,5,,
1910,11/12,USS Franklin,Wake Forest,11,0,,
1910,11/24,Davidson,Wake Forest,32,0,"@ Charlotte, NC",
1910,12/3,Norfolk Blues,Wake Forest,31,0,,
1909,10/4,Maryville,Wake Forest,0,3,,
1909,10/16,Wake Forest,Washington & Lee,0,17,,
1909,10/23,South Carolina,Wake Forest,0,8,,
1909,11/5,Richmond,Wake Forest,5,0,,
1909,11/12,North Carolina Medical,Wake Forest,5,0,,
1908,10/3,Wake Forest,Warrenton Preparatory,21,0,,
1908,10/10,Davidson,Wake Forest,34,0,"@ Charlotte, NC",
1908,11/14,Davidson,Wake Forest,31,0,"@ Charlotte, NC",
2025,8/30,Arizona,Hawaii,40,6,,
2025,9/6,Arizona,Weber State,48,3,,
2025,9/12,Arizona,Kansas State,23,17,,
2025,9/27,Arizona,Iowa State,14,39,,
2025,10/4,Arizona,Oklahoma State,41,13,,
2025,10/11,Arizona,Brigham Young,27,33,,
2025,10/18,Arizona,Houston,28,31,,
2025,11/1,Arizona,Colorado,52,17,,
2025,11/8,Arizona,Kansas,24,20,,
2025,11/15,Arizona,Cincinnati,30,24,,
2025,11/22,Arizona,Baylor,41,17,,
2025,11/28,Arizona,Arizona State,23,7,,
2024,8/31,Arizona,New Mexico,61,39,,
2024,9/7,Arizona,Northern Arizona,22,10,,
2024,9/13,Arizona,Kansas State,7,31,,
2024,9/28,Arizona,Utah,23,10,,
2024,10/5,Arizona,Texas Tech,22,28,,
2024,10/12,Arizona,Brigham Young,19,41,,
2024,10/19,Arizona,Colorado,7,34,,
2024,10/26,Arizona,West Virginia,26,31,,
2024,11/2,Arizona,Central Florida,12,56,,
2024,11/15,Arizona,Houston,27,3,,
2024,11/23,Arizona,Texas Christian,28,49,,
2024,11/30,Arizona,Arizona State,7,49,,
2023,9/2,Arizona,Northern Arizona,38,3,,
2023,9/9,Arizona,Mississippi State,24,31,,
2023,9/16,Arizona,Texas-El Paso,31,10,,
2023,9/30,Arizona,Washington,24,31,,
2023,10/7,Arizona,Southern California,41,43,,
2023,10/14,Arizona,Washington State,44,6,,
2023,10/28,Arizona,Oregon State,27,24,,
2023,11/4,Arizona,UCLA,27,10,,
2023,11/11,Arizona,Colorado,34,31,,
2023,11/18,Arizona,Utah,42,18,,
2023,11/25,Arizona,Arizona State,59,23,,
2023,12/28,Arizona,Oklahoma,38,24,"@ San Antonio, TX",Alamo Bowl
2022,9/3,Arizona,San Diego State,38,20,,
2022,9/10,Arizona,Mississippi State,17,39,,
2022,9/17,Arizona,North Dakota State,31,28,,
2022,10/1,Arizona,Colorado,43,20,,
2022,10/8,Arizona,Oregon,22,49,,
2022,10/15,Arizona,Washington,39,49,,
2022,10/29,Arizona,Southern California,37,45,,
2022,11/5,Arizona,Utah,20,45,,
2022,11/12,Arizona,UCLA,34,28,,
2022,11/19,Arizona,Washington State,20,31,,
2022,11/25,Arizona,Arizona State,38,35,,
2021,9/4,Arizona,Brigham Young,16,24,"@ Las Vegas, NV",
2021,9/11,Arizona,San Diego State,14,38,,
2021,9/18,Arizona,Northern Arizona,19,21,,
2021,9/25,Arizona,Oregon,19,41,,
2021,10/9,Arizona,UCLA,16,34,,
2021,10/16,Arizona,Colorado,0,34,,
2021,10/22,Arizona,Washington,16,21,,
2021,10/30,Arizona,Southern California,34,41,,
2021,11/13,Arizona,Utah,29,38,,
2021,11/19,Arizona,Washington State,18,44,,
2021,11/27,Arizona,Arizona State,15,38,,
2020,11/14,Arizona,Southern California,30,34,,
2020,11/21,Arizona,Washington,27,44,,
2020,11/28,Arizona,UCLA,10,27,,
2020,12/5,Arizona,Colorado,13,24,,
2020,12/11,Arizona,Arizona State,7,70,,
2019,8/24,Arizona,Hawaii,38,45,,
2019,9/7,Arizona,Northern Arizona,65,41,,
2019,9/14,Arizona,Texas Tech,28,14,,
2019,9/28,Arizona,UCLA,20,17,,
2019,10/5,Arizona,Colorado,35,30,,
2019,10/12,Arizona,Washington,27,51,,
2019,10/19,Arizona,Southern California,14,41,,
2019,11/2,Arizona,Oregon State,38,56,,
2019,11/16,Arizona,Oregon,6,34,,
2019,11/23,Arizona,Utah,7,35,,
2019,11/30,Arizona,Arizona State,14,24,,
2018,9/1,Arizona,Brigham Young,23,28,,
2018,9/8,Arizona,Houston,18,45,,
2018,9/15,Arizona,Southern Utah,62,31,,
2018,9/22,Arizona,Oregon State,35,14,,
2018,9/29,Arizona,Southern California,20,24,,
2018,10/12,Arizona,Utah,10,42,,
2018,10/20,Arizona,UCLA,30,31,,
2018,10/27,Arizona,Oregon,44,15,,
2018,11/2,Arizona,Colorado,42,34,,
2018,11/17,Arizona,Washington State,28,69,,
2018,11/24,Arizona,Arizona State,40,41,,
2017,9/2,Arizona,Northern Arizona,62,24,,
2017,9/9,Arizona,Houston,16,19,,
2017,9/15,Arizona,Texas-El Paso,63,16,,
2017,9/22,Arizona,Utah,24,30,,
2017,10/7,Arizona,Colorado,45,42,,
2017,10/14,Arizona,UCLA,47,30,,
2017,10/28,Arizona,Washington State,58,37,,
2017,11/4,Arizona,Southern California,35,49,,
2017,11/11,Arizona,Oregon State,49,28,,
2017,11/18,Arizona,Oregon,28,48,,
2017,11/25,Arizona,Arizona State,30,42,,
2017,12/27,Arizona,Purdue,35,38,"@ Santa Clara, CA",Foster Farms Bowl
2016,9/3,Arizona,Brigham Young,16,18,"@ Glendale, AZ",
2016,9/10,Arizona,Grambling State,31,21,,
2016,9/17,Arizona,Hawaii,47,28,,
2016,9/24,Arizona,Washington,28,35,,
2016,10/1,Arizona,UCLA,24,45,,
2016,10/8,Arizona,Utah,23,36,,
2016,10/15,Arizona,Southern California,14,48,,
2016,11/5,Arizona,Washington State,7,69,,
2016,11/12,Arizona,Colorado,24,49,,
2016,11/19,Arizona,Oregon State,17,42,,
2016,11/25,Arizona,Arizona State,56,35,,
2015,9/3,Arizona,Texas-San Antonio,42,32,,
2015,9/12,Arizona,Nevada,44,20,,
2015,9/19,Arizona,Northern Arizona,77,13,,
2015,9/26,Arizona,UCLA,30,56,,
2015,10/10,Arizona,Oregon State,44,7,,
2015,10/17,Arizona,Colorado,38,31,,
2015,10/24,Arizona,Washington State,42,45,,
2015,10/31,Arizona,Washington,3,49,,
2015,11/7,Arizona,Southern California,30,38,,
2015,11/14,Arizona,Utah,37,30,,
2015,11/21,Arizona,Arizona State,37,52,,
2015,12/19,Arizona,New Mexico,45,37,"@ Albuquerque, NM",New Mexico Bowl
2014,8/29,Arizona,Nevada-Las Vegas,58,13,,
2014,9/4,Arizona,Texas-San Antonio,26,23,,
2014,9/13,Arizona,Nevada,35,28,,
2014,10/2,Arizona,Oregon,31,24,,
2014,10/11,Arizona,Southern California,26,28,,
2014,10/25,Arizona,Washington State,59,37,,
2014,11/1,Arizona,UCLA,7,17,,
2014,11/8,Arizona,Colorado,38,20,,
2014,11/15,Arizona,Washington,27,26,,
2014,11/22,Arizona,Utah,42,10,,
2014,11/28,Arizona,Arizona State,42,35,,
2014,12/5,Arizona,Oregon,13,51,"@ Santa Clara, CA",Pac 12 Championship
2014,12/31,Arizona,Boise State,30,38,"@ Glendale, AZ",Fiesta Bowl
2013,8/30,Arizona,Northern Arizona,35,0,,
2013,9/7,Arizona,Nevada-Las Vegas,58,13,,
2013,9/14,Arizona,Texas-San Antonio,38,13,,
2013,9/28,Arizona,Washington,13,31,,
2013,10/10,Arizona,Southern California,31,38,,
2013,10/19,Arizona,Utah,35,24,,
2013,10/26,Arizona,Colorado,44,20,,
2013,11/9,Arizona,UCLA,26,31,,
2013,11/16,Arizona,Washington State,17,24,,
2013,11/23,Arizona,Oregon,42,16,,
2013,11/30,Arizona,Arizona State,21,58,,
2012,9/1,Arizona,Toledo,24,17,,
2012,9/8,Arizona,Oklahoma State,59,38,,
2012,9/15,Arizona,South Carolina State,56,0,,
2012,9/22,Arizona,Oregon,0,49,,
2012,9/29,Arizona,Oregon State,35,38,,
2012,10/20,Arizona,Washington,52,17,,
2012,10/27,Arizona,Southern California,39,36,,
2012,11/3,Arizona,UCLA,10,66,,
2012,11/10,Arizona,Colorado,56,31,,
2012,11/17,Arizona,Utah,34,24,,
2012,11/23,Arizona,Arizona State,34,41,,
2012,12/15,Arizona,Nevada,49,48,"@ Albuquerque, NM",New Mexico Bowl
2011,9/3,Arizona,Northern Arizona,41,10,,
2011,9/8,Arizona,Oklahoma State,14,37,,
2011,9/24,Arizona,Oregon,31,56,,
2011,10/1,Arizona,Southern California,41,48,,
2011,10/8,Arizona,Oregon State,27,37,,
2011,10/20,Arizona,UCLA,48,12,,
2011,10/29,Arizona,Washington,31,42,,
2011,11/5,Arizona,Utah,21,34,,
2011,11/12,Arizona,Colorado,29,48,,
2011,11/19,Arizona,Arizona State,31,27,,
2011,11/26,Arizona,Louisiana,45,37,,
2010,9/3,Arizona,Toledo,41,2,,
2010,9/11,Arizona,Citadel,52,6,,
2010,9/18,Arizona,Iowa,34,27,,
2010,10/9,Arizona,Oregon State,27,29,,
2010,10/16,Arizona,Washington State,24,7,,
2010,10/23,Arizona,Washington,44,14,,
2010,10/30,Arizona,UCLA,29,21,,
2010,11/13,Arizona,Southern California,21,24,,
2010,11/26,Arizona,Oregon,29,48,,
2010,12/2,Arizona,Arizona State,29,30,,
2010,12/29,Arizona,Oklahoma State,10,36,"@ San Antonio, TX",Alamo Bowl
2009,9/5,Arizona,Central Michigan,19,6,,
2009,9/12,Arizona,Northern Arizona,34,17,,
2009,9/19,Arizona,Iowa,17,27,,
2009,9/26,Arizona,Oregon State,37,32,,
2009,10/10,Arizona,Washington,33,36,,
2009,10/24,Arizona,UCLA,27,13,,
2009,11/7,Arizona,Washington State,48,7,,
2009,11/21,Arizona,Oregon,41,44,,
2009,11/28,Arizona,Arizona State,20,17,,
2009,12/5,Arizona,Southern California,21,17,,
2009,12/30,Arizona,Nebraska,0,33,"@ San Diego, CA",Holiday Bowl
2008,8/30,Arizona,Idaho,70,0,,
2008,9/6,Arizona,Toledo,41,16,,
2008,9/13,Arizona,New Mexico,28,36,,
2008,9/20,Arizona,UCLA,31,10,,
2008,10/4,Arizona,Washington,48,14,,
2008,10/25,Arizona,Southern California,10,17,,
2008,11/8,Arizona,Washington State,59,28,,
2008,11/15,Arizona,Oregon,45,55,,
2008,11/22,Arizona,Oregon State,17,19,,
2008,12/6,Arizona,Arizona State,31,10,,
2008,12/20,Arizona,Brigham Young,31,21,"@ Las Vegas, NV",Las Vegas Bowl
2007,9/1,Arizona,Brigham Young,7,20,,
2007,9/8,Arizona,Northern Arizona,45,24,,
2007,9/15,Arizona,New Mexico,27,29,,
2007,9/29,Arizona,Washington State,48,20,,
2007,10/6,Arizona,Oregon State,16,31,,
2007,10/13,Arizona,Southern California,13,20,,
2007,10/27,Arizona,Washington,48,41,,
2007,11/3,Arizona,UCLA,34,27,,
2007,11/15,Arizona,Oregon,34,24,,
2007,12/1,Arizona,Arizona State,17,20,,
2006,9/2,Arizona,Brigham Young,16,13,,
2006,9/9,Arizona,Louisiana State,3,45,,
2006,9/16,Arizona,Stephen F. Austin,28,10,,
2006,9/23,Arizona,Southern California,3,20,,
2006,9/30,Arizona,Washington,10,21,,
2006,10/7,Arizona,UCLA,7,27,,
2006,10/21,Arizona,Oregon State,10,17,,
2006,11/4,Arizona,Washington State,27,17,,
2006,11/18,Arizona,Oregon,37,10,,
2006,11/25,Arizona,Arizona State,14,28,,
2005,9/2,Arizona,Utah,24,27,,
2005,9/10,Arizona,Northern Arizona,31,12,,
2005,9/17,Arizona,Purdue,24,31,,
2005,10/8,Arizona,Southern California,21,42,,
2005,10/22,Arizona,Oregon,21,28,,
2005,10/29,Arizona,Oregon State,29,27,,
2005,11/5,Arizona,UCLA,52,14,,
2005,11/12,Arizona,Washington,14,38,,
2005,11/25,Arizona,Arizona State,20,23,,
2004,9/4,Arizona,Northern Arizona,21,3,,
2004,9/11,Arizona,Utah,6,23,,
2004,9/18,Arizona,Wisconsin,7,9,,
2004,9/25,Arizona,Washington State,19,20,,
2004,10/9,Arizona,UCLA,17,37,,
2004,10/16,Arizona,Oregon,14,28,,
2004,10/30,Arizona,Oregon State,14,28,,
2004,11/6,Arizona,Washington,23,13,,
2004,11/13,Arizona,Southern California,9,49,,
2004,11/26,Arizona,Arizona State,34,27,,
2003,8/30,Arizona,Texas-El Paso,42,7,,
2003,9/6,Arizona,Louisiana State,13,59,,
2003,9/13,Arizona,Oregon,10,48,,
2003,9/20,Arizona,Purdue,7,59,,
2003,9/27,Arizona,Texas Christian,10,13,,
2003,10/4,Arizona,Washington State,7,30,,
2003,10/11,Arizona,UCLA,21,24,,
2003,11/1,Arizona,Oregon State,23,52,,
2003,11/8,Arizona,Washington,27,22,,
2003,11/15,Arizona,Southern California,0,45,,
2003,11/28,Arizona,Arizona State,7,28,,
2002,8/31,Arizona,Northern Arizona,37,3,,
2002,9/14,Arizona,Utah,23,17,,
2002,9/21,Arizona,Wisconsin,10,31,,
2002,9/28,Arizona,North Texas,14,9,,
2002,10/5,Arizona,Oregon,14,31,,
2002,10/12,Arizona,Washington,28,32,,
2002,10/26,Arizona,Washington State,13,21,,
2002,11/2,Arizona,Oregon State,3,38,,
2002,11/9,Arizona,UCLA,7,37,,
2002,11/29,Arizona,Arizona State,20,34,,
2001,8/30,Arizona,San Diego State,23,10,,
2001,9/8,Arizona,Idaho,36,29,,
2001,9/22,Arizona,Nevada-Las Vegas,38,21,,
2001,9/29,Arizona,Washington State,21,48,,
2001,10/6,Arizona,Oregon,28,63,,
2001,10/13,Arizona,Oregon State,3,38,,
2001,10/20,Arizona,Washington,28,31,,
2001,10/27,Arizona,Southern California,34,41,,
2001,11/23,Arizona,Arizona State,34,21,,
2000,9/2,Arizona,Utah,17,3,,
2000,9/9,Arizona,Ohio State,17,27,,
2000,9/16,Arizona,San Diego State,17,3,,
2000,10/7,Arizona,Southern California,31,15,,
2000,10/14,Arizona,Washington State,53,47,,
2000,10/21,Arizona,Oregon,10,14,,
2000,10/28,Arizona,UCLA,24,27,,
2000,11/4,Arizona,Washington,32,35,,
2000,11/11,Arizona,Oregon State,9,33,,
2000,11/24,Arizona,Arizona State,17,30,,
1999,8/28,Arizona,Penn State,7,41,"@ State College, PA",Pigskin Classic
1999,9/5,Arizona,Texas Christian,35,31,,
1999,9/11,Arizona,Middle Tennessee State,34,19,,
1999,9/25,Arizona,Washington State,30,24,,
1999,10/9,Arizona,Southern California,31,24,,
1999,10/16,Arizona,Texas-El Paso,34,21,,
1999,10/23,Arizona,Oregon,41,44,,
1999,10/30,Arizona,UCLA,33,7,,
1999,11/6,Arizona,Washington,25,33,,
1999,11/13,Arizona,Oregon State,20,28,,
1999,11/27,Arizona,Arizona State,27,42,,
1998,9/3,Arizona,Hawaii,27,6,,
1998,9/19,Arizona,Iowa,35,11,,
1998,9/24,Arizona,San Diego State,35,16,,
1998,10/3,Arizona,Washington,31,28,,
1998,10/10,Arizona,UCLA,28,52,,
1998,10/17,Arizona,Oregon State,28,7,,
1998,10/24,Arizona,Louisiana-Monroe,45,7,,
1998,10/31,Arizona,Oregon,38,3,,
1998,11/7,Arizona,Washington State,41,7,,
1998,11/27,Arizona,Arizona State,50,42,,
1998,12/30,Arizona,Nebraska,23,20,"@ San Diego, CA",Holiday Bowl
1997,9/4,Arizona,Oregon,9,16,,
1997,9/13,Alabama-Birmingham,Arizona,10,24,,
1997,9/20,Arizona,Ohio State,20,28,,
1997,9/27,Arizona,UCLA,27,40,,
1997,10/4,Arizona,San Diego State,31,28,,
1997,10/18,Arizona,Washington,28,58,,
1997,10/25,Arizona,Washington State,34,35,,
1997,11/8,Arizona,Oregon State,27,7,,
1997,11/28,Arizona,Arizona State,28,16,,
1997,12/27,Arizona,New Mexico,20,14,"@ Tucson, AZ",Insight Bowl
1996,8/31,Arizona,Texas-El Paso,23,3,,
1996,9/7,Arizona,Iowa,20,21,,
1996,9/14,Arizona,Illinois,41,0,,
1996,9/21,Arizona,Washington,17,31,,
1996,10/5,Arizona,Washington State,34,26,,
1996,10/12,Arizona,Southern California,7,14,,
1996,10/26,Arizona,Oregon State,33,7,,
1996,11/9,Arizona,Oregon,31,49,,
1996,11/16,Arizona,UCLA,35,17,,
1996,11/23,Arizona,Arizona State,14,56,,
1995,9/2,Arizona,Pacific,41,9,,
1995,9/16,Arizona,Illinois,7,9,,
1995,9/23,Arizona,Southern California,10,31,,
1995,10/14,Arizona,UCLA,10,17,,
1995,10/21,Arizona,Washington,17,31,,
1995,10/28,Arizona,Washington State,24,14,,
1995,11/4,Arizona,Oregon State,14,9,,
1995,11/11,Arizona,Oregon,13,17,,
1995,11/24,Arizona,Arizona State,31,28,,
1994,9/10,Arizona,New Mexico State,44,0,,
1994,10/1,Arizona,Oregon State,30,10,,
1994,10/8,Arizona,Colorado State,16,21,,
1994,10/15,Arizona,Washington State,10,7,,
1994,10/22,Arizona,UCLA,34,24,,
1994,10/29,Arizona,Oregon,9,10,,
1994,11/12,Arizona,Southern California,28,45,,
1994,11/25,Arizona,Arizona State,28,27,,
1994,12/27,Arizona,Utah,13,16,"@ Anaheim, CA",Freedom Bowl
1993,9/4,Arizona,Texas-El Paso,24,6,,
1993,9/11,Arizona,Pacific,16,13,,
1993,9/18,Arizona,Illinois,16,14,,
1993,9/25,Arizona,Oregon State,33,0,,
1993,10/2,Arizona,Southern California,38,7,,
1993,10/23,Arizona,Washington State,9,6,,
1993,10/30,Arizona,UCLA,17,37,,
1993,11/6,Arizona,Oregon,31,10,,
1993,11/26,Arizona,Arizona State,34,20,,
1992,9/5,Arizona,Utah State,49,3,,
1992,9/12,Arizona,Washington State,20,23,,
1992,9/19,Arizona,Oregon State,14,14,,
1992,10/3,Arizona,UCLA,23,3,,
1992,10/31,Arizona,New Mexico State,30,0,,
1992,11/7,Arizona,Washington,16,3,,
1992,11/14,Arizona,Southern California,7,14,,
1992,11/21,Arizona,Arizona State,6,7,,
1992,12/31,Arizona,Baylor,15,20,"@ El Paso, TX",Sun Bowl
1991,9/7,Arizona,Ohio State,14,38,,
1991,9/28,Arizona,Long Beach State,45,21,,
1991,10/5,Arizona,Washington,0,54,,
1991,10/12,Arizona,UCLA,14,54,,
1991,11/2,Arizona,Oregon State,45,21,,
1991,11/9,Arizona,Washington State,27,40,,
1991,11/16,Arizona,Southern California,31,14,,
1991,11/23,Arizona,Arizona State,14,37,,
1990,9/8,Arizona,Illinois,28,16,,
1990,9/15,Arizona,New Mexico,25,10,,
1990,9/22,Arizona,Oregon,22,17,,
1990,10/6,Arizona,UCLA,28,21,,
1990,10/13,Arizona,Oregon State,21,35,,
1990,10/20,Arizona,Southern California,35,26,,
1990,10/27,Arizona,Washington State,42,34,,
1990,11/3,Arizona,Washington,10,54,,
1990,11/24,Arizona,Arizona State,21,17,,
1989,9/9,Arizona,Texas Tech,14,24,,
1989,9/16,Arizona,Oklahoma,6,3,,
1989,9/23,Arizona,Washington,20,17,,
1989,9/30,Arizona,Oregon,10,16,,
1989,10/14,Arizona,UCLA,42,7,,
1989,10/21,Arizona,Washington State,23,21,,
1989,10/28,Arizona,Pacific,38,14,,
1989,11/11,Arizona,Southern California,3,24,,
1989,11/25,Arizona,Arizona State,28,10,,
1988,9/3,Arizona,Oregon State,24,13,,
1988,9/10,Arizona,Texas Tech,35,19,,
1988,9/17,Arizona,Oklahoma,10,28,,
1988,9/24,Arizona,Eastern Michigan,55,0,,
1988,10/1,Arizona,Southern California,15,38,,
1988,10/15,Arizona,Washington State,45,28,,
1988,10/22,Arizona,UCLA,3,24,,
1988,11/5,Arizona,Washington,16,13,,
1988,11/12,Arizona,Oregon,41,27,,
1988,11/26,Arizona,Arizona State,28,18,,
1987,9/12,Arizona,Iowa,14,15,,
1987,9/19,Arizona,New Mexico,20,9,,
1987,9/26,Arizona,UCLA,24,34,,
1987,10/3,Arizona,Bowling Green,45,7,,
1987,10/17,Arizona,Oregon State,31,17,,
1987,10/24,Arizona,Washington State,28,45,,
1987,11/7,Arizona,Washington,21,21,,
1987,11/14,Arizona,Southern California,10,12,,
1987,11/28,Arizona,Arizona State,24,24,,
1986,9/6,Arizona,Houston,37,3,,
1986,9/13,Arizona,Colorado State,37,10,,
1986,9/20,Arizona,Oregon,41,17,,
1986,9/27,Arizona,Colorado,24,21,,
1986,10/11,Arizona,UCLA,25,32,,
1986,10/18,Arizona,Oregon State,23,12,,
1986,11/1,Arizona,Southern California,13,20,,
1986,11/8,Arizona,Washington State,31,6,,
1986,11/22,Arizona,Arizona State,34,17,,
1985,9/7,Arizona,Toledo,23,10,,
1985,9/14,Arizona,Washington State,12,7,,
1985,9/28,Arizona,Colorado,13,14,,
1985,10/19,Arizona,San Jose State,41,0,,
1985,11/2,Arizona,Oregon State,27,6,,
1985,11/9,Arizona,UCLA,19,24,,
1985,11/16,Arizona,Oregon,20,8,,
1985,11/23,Arizona,Arizona State,16,13,,
1985,12/28,Arizona,Georgia,13,13,"@ El Paso, TX",Sun Bowl
1984,9/1,Arizona,Fresno State,22,27,,
1984,9/15,Arizona,Oregon State,27,8,"@ Portland, OR",
1984,9/22,Arizona,Louisiana State,26,27,,
1984,9/29,Arizona,Long Beach State,31,24,,
1984,10/6,Arizona,Oregon,28,14,,
1984,10/20,Arizona,Southern California,14,17,,
1984,10/27,Arizona,Washington,12,28,,
1984,11/3,Arizona,Utah State,45,10,,
1984,11/24,Arizona,Arizona State,16,10,,
1983,9/3,Arizona,Oregon State,50,6,,
1983,9/10,Arizona,Utah,38,0,,
1983,9/17,Arizona,Washington State,45,6,,
1983,9/24,Arizona,Fullerton State,27,10,,
1983,10/8,Arizona,Colorado State,52,21,,
1983,10/15,Arizona,Oregon,10,19,,
1983,11/5,Arizona,Washington,22,23,,
1983,11/12,Arizona,UCLA,27,24,,
1983,11/26,Arizona,Arizona State,17,15,,
1982,9/11,Arizona,Oregon State,38,12,,
1982,9/18,Arizona,Washington,13,23,,
1982,9/25,Arizona,Iowa,14,17,,
1982,10/9,Arizona,UCLA,24,24,,
1982,10/16,Arizona,Notre Dame,16,13,,
1982,10/23,Arizona,Pacific,55,7,,
1982,10/30,Arizona,Washington State,34,17,,
1982,11/13,Arizona,Southern California,41,48,,
1982,11/20,Arizona,Oregon,7,13,,
1982,11/27,Arizona,Arizona State,28,18,,
1981,9/12,Arizona,UCLA,18,35,,
1981,9/26,Arizona,Fullerton State,37,16,,
1981,10/10,Arizona,Southern California,13,10,,
1981,10/17,Arizona,Oregon,18,14,,
1981,10/24,Arizona,Washington State,19,34,,
1981,10/31,Arizona,Texas-El Paso,48,15,,
1981,11/14,Arizona,Oregon State,40,7,,
1981,11/21,Arizona,Fresno State,17,23,,
1981,11/28,Arizona,Arizona State,13,24,,
1980,9/20,Arizona,Colorado State,13,15,,
1980,10/4,Arizona,Iowa,5,3,,
1980,10/11,Arizona,Southern California,10,27,,
1980,10/18,Arizona,Washington State,14,38,,
1980,10/25,Arizona,Notre Dame,3,20,,
1980,11/1,Arizona,UCLA,23,17,,
1980,11/8,Arizona,Washington,22,45,,
1980,11/15,Arizona,Pacific,63,35,,
1980,11/22,Arizona,Oregon State,24,7,,
1980,11/29,Arizona,Arizona State,7,44,,
1979,9/1,Arizona,Colorado State,33,17,,
1979,9/8,Arizona,Washington State,22,7,"@ Spokane, WA",
1979,9/22,Arizona,Texas Tech,14,14,,
1979,9/29,Arizona,San Jose State,38,18,,
1979,10/13,Arizona,Oregon,24,13,,
1979,11/3,Arizona,Southern California,7,34,,
1979,11/10,Arizona,San Diego State,10,42,,
1979,11/17,Arizona,Oregon State,42,18,,
1979,11/24,Arizona,Arizona State,27,24,,
1978,9/9,Arizona,Kansas State,31,0,,
1978,9/16,Arizona,Oregon State,21,7,,
1978,9/23,Arizona,Texas Tech,26,41,,
1978,9/30,Arizona,Iowa,23,3,,
1978,10/7,Arizona,Michigan,17,21,,
1978,10/27,Arizona,UCLA,14,24,,
1978,11/4,Arizona,Washington,21,31,,
1978,11/11,Arizona,Oregon,24,3,,
1978,11/18,Arizona,Washington State,31,24,,
1978,11/25,Arizona,Arizona State,17,18,,
1977,9/10,Arizona,Auburn,10,21,,
1977,9/17,Arizona,San Diego State,14,21,,
1977,9/24,Arizona,Iowa,41,7,,
1977,10/1,Arizona,Wyoming,12,13,,
1977,10/8,Arizona,Texas Tech,26,32,,
1977,10/22,Arizona,Utah,45,17,,
1977,10/29,Arizona,Brigham Young,14,34,,
1977,11/5,Arizona,Colorado State,14,35,,
1977,11/12,Arizona,New Mexico,15,13,,
1977,11/19,Arizona,Texas-El Paso,41,24,,
1977,11/26,Arizona,Arizona State,7,23,,
1977,12/3,Arizona,Hawaii,17,10,,
1976,9/11,Arizona,Auburn,31,19,,
1976,9/18,Arizona,UCLA,9,37,,
1976,9/25,Arizona,Brigham Young,16,23,,
1976,10/2,Arizona,Northwestern,27,15,,
1976,10/9,Arizona,Texas-El Paso,63,12,,
1976,10/23,Arizona,Texas Tech,27,52,,
1976,10/30,Arizona,Utah,38,35,,
1976,11/6,Arizona,Wyoming,24,26,,
1976,11/13,Arizona,Colorado State,23,6,,
1976,11/20,Arizona,New Mexico,15,21,,
1976,11/27,Arizona,Arizona State,10,27,,
1975,9/20,Arizona,Pacific,16,0,,
1975,9/27,Arizona,Wyoming,14,0,,
1975,10/4,Arizona,Northwestern,41,6,,
1975,10/11,Arizona,Texas-El Paso,36,0,,
1975,10/18,Arizona,Texas Tech,32,28,,
1975,10/25,Arizona,New Mexico,34,44,,
1975,11/1,Arizona,Brigham Young,36,20,,
1975,11/8,Arizona,San Diego State,31,24,,
1975,11/15,Arizona,Colorado State,31,9,,
1975,11/22,Arizona,Utah,38,14,,
1975,11/29,Arizona,Arizona State,21,24,,
1974,9/14,Arizona,San Diego State,17,10,,
1974,9/21,Arizona,Indiana,35,20,,
1974,9/28,Arizona,New Mexico,15,10,,
1974,10/5,Arizona,Texas-El Paso,42,13,,
1974,10/12,Arizona,Utah,41,8,,
1974,10/19,Arizona,Texas Tech,8,17,,
1974,10/26,Arizona,Brigham Young,13,37,,
1974,11/9,Arizona,Colorado State,34,21,,
1974,11/16,Air Force,Arizona,24,27,,
1974,11/23,Arizona,Wyoming,21,14,,
1974,11/30,Arizona,Arizona State,10,0,,
1973,9/8,Arizona,Colorado State,31,0,,
1973,9/15,Arizona,Wyoming,21,7,,
1973,9/22,Arizona,Indiana,26,10,,
1973,10/6,Arizona,Iowa,23,20,,
1973,10/13,Arizona,New Mexico,22,14,,
1973,10/20,Arizona,Texas Tech,17,31,,
1973,10/27,Arizona,Utah,42,21,,
1973,11/3,Arizona,Texas-El Paso,35,18,,
1973,11/10,Arizona,Brigham Young,24,10,,
1973,11/17,Air Force,Arizona,27,26,,
1973,11/25,Arizona,Arizona State,19,55,,
1972,9/9,Arizona,Colorado State,17,0,,
1972,9/16,Arizona,Oregon,7,34,,
1972,9/23,Arizona,Washington State,6,28,,
1972,10/7,Arizona,UCLA,31,42,,
1972,10/14,Arizona,New Mexico,27,15,,
1972,10/21,Arizona,Texas Tech,10,35,,
1972,10/28,Arizona,Texas-El Paso,45,22,,
1972,11/4,Arizona,Utah,27,28,,
1972,11/11,Arizona,Brigham Young,21,7,,
